,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
0,0,0,nou,"Nou, laten we gaan! - Now, let's go!"
1,1,1,mee,Ik ga mee naar huis. - I'm going home with (them).
2,2,2,misschien,Misschien ga ik naar het strand vandaag. - Maybe I'll go to the beach today.
3,3,3,even,Ik ben even naar de winkel gegaan. - I just went to the store.
4,4,4,iemand,Iemand heeft me gebeld. - Someone called me.
5,5,5,komt,Komt er nog iemand? - Is anyone else coming?
6,6,6,niets,Ik heb niets gezegd. - I didn't say anything.
7,7,7,zei,"""Hij zei dat hij moe was,"" He said he was tired."
8,8,8,hou,Hou je van mij? - Do you love me?
9,9,9,komen,"""Ze komen morgen aan."" - They will arrive tomorrow."
10,10,10,mensen,"Mensen zijn op zoek naar manieren om het milieu te beschermen.

People are looking for ways to protect the environment."
11,11,11,onze,Onze familie is groot. - Our family is big.
12,12,12,nodig,Ik heb je hulp nodig. - I need your help.
13,13,13,tot,Ik ben tot morgen hier. - I'll be here till tomorrow.
14,14,14,worden,De veranderingen zullen worden aangekondigd. - The changes will be announced.
15,15,15,veel,Veel plezier! = Have fun!
16,16,16,weten,Ik weet het niet. - I don't know.
17,17,17,leven,"Het leven is kort, maar de herinneringen zijn eeuwig. - Life is short, but the memories are eternal."
18,18,18,wij,Wij gaan naar het park. - We are going to the park.
19,19,19,weer,"""Het weer is vandaag mooi."" - ""The weather is nice today."""
20,20,20,gewoon,Gewoon even rustig aan doen. - Just take it easy.
21,21,21,kijk,Kijk eens naar de zon! - Look at the sun!
22,22,22,zeggen,"""Ik zeg dat ik je zal helpen."" - I say that I will help you."
23,23,23,tijd,De tijd vliegt! - Time flies!
24,24,24,zeg,"""Zeg me wat je denkt."" - Tell me what you think."
25,25,25,twee,Twee mensen stonden samen op het podium. - Two people stood together on the stage.
26,26,26,toen,Toen gingen we naar huis. - Then we went home.
27,27,27,tegen,De kat liep tegen de muur aan. - The cat ran into the wall.
28,28,28,zit,Ik zit in de auto. - I am sitting in the car.
29,29,29,net,Ik heb net een kopje koffie gedronken. - I just drank a cup of coffee.
30,30,30,dood,"""Hij was dood moe."" - He was dead tired."
31,31,31,uw,Uw huis is mooi. - Your house is beautiful.
32,32,32,wordt,De kat wordt vermist. - The cat is missing.
33,33,33,hé,"Hé, wat doe je hier? - Hey, what are you doing here?"
34,34,34,maken,"Ik maak een taart, I am making a cake."
35,35,35,mag,Ik mag naar huis gaan - I may go home.
36,36,36,één,Ik heb één appel gegeten - I ate one apple.
37,37,37,z'n,Hij heeft z'n boeken meegenomen. - He has taken his books.
38,38,38,omdat,"Omdat ik het leuk vind, ga ik naar het strand. - Because I like it, I'm going to the beach."
39,39,39,gedaan,Ik heb het gedaan. - I have done it.
40,40,40,heel,Ik heb heel veel energie. - I have a lot of energy.
41,41,41,af,De kat is van de tafel af gesprongen. - The cat jumped off the table.
42,42,42,altijd,Altijd ben ik je vriend. - Always I am your friend.
43,43,43,jouw,Jouw ogen zijn zo mooi. - Your eyes are so beautiful.
44,44,44,zeker,"""Zeker, ik zal het doen."" - ""Certainly, I will do it."""
45,45,45,geef,Geef me een kus! - Give me a kiss!
46,46,46,zie,Ik zie je morgen - I'll see you tomorrow.
47,47,47,wacht,"""Ik wacht op je antwoord."" - I'm waiting for your answer."
48,48,48,allemaal,Allemaal hebben we een goede tijd gehad. - We all had a good time.
49,49,49,jaar,Het jaar is bijna voorbij. - The year is nearly over.
50,50,50,doet,Het doet me goed om je te zien. - It's good to see you.
51,51,51,dag,Dag iedereen! - Hello everyone!
52,52,52,zij,Zij zijn de koningen van het feest. - They are the kings of the party.
53,53,53,hun,Hun kat is zwart. - Their cat is black.
54,54,54,huis,"""Ik heb een mooi huis."" - ""I have a beautiful house."""
55,55,55,vader,"Mijn vader is de beste, My father is the best."
56,56,56,dank,Ik wil je danken voor je hulp. - I want to thank you for your help.
57,57,57,dacht,Ik dacht dat ik het al wist. - I thought I already knew.
58,58,58,kunt,"U kunt mij helpen, You can help me."
59,59,59,zoals,"""Ik hou van het leven zoals het is,"" which translates to ""I love life as it is."""
60,60,60,vrouw,"De vrouw ging naar de winkel, The woman went to the store."
61,61,61,keer,Ik heb het al drie keer geprobeerd. - I have tried it three times.
62,62,62,anders,"""Het is anders dan ik had verwacht"" - ""It is different than I had expected""."
63,63,63,andere,Andere mensen hebben andere ideeën. - Other people have different ideas.
64,64,64,willen,Ik wil naar het strand gaan. - I want to go to the beach.
65,65,65,erg,"Erg moe, I'm very tired."
66,66,66,spijt,Ik heb spijt van mijn beslissing. - I regret my decision.
67,67,67,bedankt,Bedankt voor je hulp! - Thank you for your help!
68,68,68,niemand,Niemand weet wat er gaat gebeuren. - No one knows what is going to happen.
69,69,69,wilt,Wil je mee naar de bioscoop gaan? - Do you want to go to the movies?
70,70,70,geld,"""Hij heeft veel geld verdiend."" - He has earned a lot of money."
71,71,71,zitten,Ik zit in de klas. - I am sitting in the classroom.
72,72,72,niks,Ik heb niks gezegd. - I didn't say anything.
73,73,73,iedereen,Iedereen heeft recht op geluk. - Everyone has a right to happiness.
74,74,74,binnen,"""De kat loopt binnen."" - The cat is walking inside."
75,75,75,staat,"""De staat heeft veel geld geïnvesteerd in de infrastructuur."" - ""The state has invested a lot of money in the infrastructure."""
76,76,76,wilde,Ik wilde een ijsje. - I wanted an ice cream.
77,77,77,zich,Zij verzachtte zich. - She softened herself.
78,78,78,beter,'Het kan beter.' - It could be better.
79,79,79,werk,Ik heb veel werk te doen. - I have a lot of work to do.
80,80,80,praten,Ik praat met mijn vrienden. - I am talking to my friends.
