,Unnamed: 0,Dutch,Sentence
0,0,hallo,"Hallo, goedendag! - Hello, good day!"
1,1,leuk,Het is leuk om hier te zijn. - It is nice to be here.
2,2,sorry,"Sorry, ik heb je verkeerd begrepen. - Sorry, I misunderstood you."
3,3,alle,Alle mensen zijn gelijk. - All people are equal.
4,4,elkaar,We zien elkaar morgen. - We'll see each other tomorrow.
5,5,toe,Ik voeg het toe. - I add it.
6,6,wist,Ik wist dat het zo zou zijn. - I knew it would be this way.
7,7,zegt,Zij zegt dat het te laat is. She says it's too late.
8,8,bedoel,Ik bedoel dat ik het niet weet. - I mean that I don't know.
9,9,blijf,"Blijf bij me, stay with me."
10,10,alsjeblieft,"""Kan ik alsjeblieft een glas water hebben?"" - ""Can I please have a glass of water?"""
11,11,lang,Het duurde lang voordat hij aankwam - It took a long time before he arrived.
12,12,meneer,"Meneer, mag ik u iets vragen? - Mister, may I ask you something?"
13,13,ziet,"""Hij ziet er goed uit."" - He looks good."
14,14,maakt,Hij maakt een goede indruk. - He makes a good impression.
15,15,luister,Luister naar mij! - Listen to me!
16,16,dingen,Ik doe dingen die ik leuk vind. = I do things that I like.
17,17,mooi,Het is een mooie dag. - It is a beautiful day.
18,18,werd,Hij werd gekozen als president. - He was elected as president.
19,19,eerste,Mijn eerste taal was Engels. - My first language was English.
20,20,graag,Ik zou het graag weten. - I'd like to know.
21,21,natuurlijk,Natuurlijk wil ik dat doen. - Of course I want to do that.
22,22,houden,Ik houd van jou. - I love you.
23,23,zonder,Ik kan niet zonder jou leven. - I can't live without you.
24,24,steeds,Steeds meer mensen kopen hun boodschappen online. - More and more people are buying their groceries online.
25,25,krijgen,Ik krijg een cadeau. - I am getting a present.
26,26,grote,Mijn grote broer woont in een andere stad. - My big brother lives in another city.
27,27,achter,Ik sta achter mijn beslissing. - I stand behind my decision.
28,28,helemaal,Hij is helemaal klaar. - He is completely ready.
29,29,naam,"Mijn naam is Paul, My name is Paul."
30,30,gek,"""Hij is echt gek!"" - He is really crazy!"
31,31,blijven,Ik blijf hier wonen. - I will stay here living.
32,32,onder,Mijn vrienden zijn onderweg naar huis. - My friends are on their way home.
33,33,vriend,Mijn vriend is mijn beste vriend. - My friend is my best friend.
34,34,geweest,Ik ben al eerder in Nederland geweest. - I have been to the Netherlands before.
35,35,kijken,Ik kijk naar de tv. - I'm looking at the TV.
36,36,geven,Ik geef je een knuffel - I give you a hug.
37,37,ging,Ik ging naar het park. - I went to the park.
38,38,vertellen,Ik vertelde hem het verhaal. - I told him the story.
39,39,ooit,Ooit heb ik in het buitenland gewoond. - I have lived abroad at some point.
40,40,snel,Snel kan ik naar de winkel gaan. - Quickly I can go to the store.
41,41,hand,Ik heb mijn handen vol - I have my hands full
42,42,idee,Het idee is om het te doen. The idea is to do it.
43,43,goede,Goede morgen! - Good morning!
