,Dutch,Quizlet
0,geest,"*spirit*
noun: spirit, mind, ghost
De geest van de ruimte was vreemd.

The spirit of the room was strange.


"
1,gingen,"*used to go*
verb: go, proceed, work
Wij gingen naar de markt. - We went to the market.


"
2,straat,"*street*
noun: street, road, strait
De straat is geplaveid met kiezels. - The street is paved with pebbles.


"
3,slechts,"*only*
adverb: only, merely, but
Slechts één persoon kwam op tijd. Only one person arrived on time.


"
4,verkeerde,"*wrong*
adjective: wrong, incorrect, mistaken
De verkeerde kleur was gekozen - The wrong colour was chosen.


"
5,slaan,"*to beat*
verb: beat, hit, strike
noun: embossing
Ik sloeg de bal in het doel. - I hit the ball into the goal.


"
6,FBI,"*FBI*

De FBI heeft een onderzoek ingesteld. (The FBI has initiated an investigation.)


"
7,afgelopen,"*last*
adjective: over, finished, done
adverb: out
De afgelopen maand was erg koud. - Last month was very cold.


"
8,hotel,"*hotel*
noun: hotel
Het hotel is erg mooi. - The hotel is very nice.


"
9,bekend,"*known*
adjective: known, recognized, noted
Deze stad is bekend om haar prachtige architectuur. - This city is known for its beautiful architecture.


"
10,ene,"*one*

""Ik heb ene grote hond."" - ""I have a big dog.""


"
11,ruimte,"*room*
noun: space, room, area
De ruimte was klein, maar het was gezellig. - The space was small, but it was cozy.


"
12,lange,"*long*
adjective: long, tall, prolonged
De lange weg naar huis was moeilijk. - The long way home was difficult.


"
13,trouwens,"*Incidentally*
adverb: moreover, besides, as a matter of fact
preposition: besides
""Trouwens, ik ben helemaal klaar voor vandaag."" - ""By the way, I'm all set for today.""


"
14,feest,"*party*
noun: feast, festival, fiesta
adjective: festive
Het feest was geweldig! - The party was great!


"
15,vliegen,"*to fly*
verb: fly, wing, rush
De vogel vliegt hoog in de lucht. - The bird is flying high in the sky.


"
16,boot,"*boat*
noun: boat, ship, launch
De boot vaart op het meer. - The boat is sailing on the lake.


"
17,meester,"*master*
noun: master, lord, maestro
De meester heeft de leerlingen uitgelegd hoe ze de opdracht moeten maken. - The teacher explained to the students how they should complete the task.


"
18,doel,"*goal*
noun: purpose, goal, target
Mijn doel is om een goede baan te krijgen. - My goal is to get a good job.


"
19,zolang,"*so long*
conjunction: as long as, so long as
Zolang je hard werkt, zul je succesvol zijn - As long as you work hard, you will be successful.


"
20,regels,"*lines*
noun: rule, line, norm
De regels zijn duidelijk. - The rules are clear.


"
21,stomme,"*stupid*
noun: mute, dumb person
De stomme man zei geen woord. - The dumb man said no words.


"
22,begonnen,"*started*
verb: start, begin, commence
Ik begonnen met het lezen van het boek. - I started reading the book.


"
23,zak,"*bag*
noun: bag, pocket, sack
De zak lag op de grond. - The bag was lying on the ground.


"
24,absoluut,"*absolute*
adverb: absolutely, must needs
adjective: absolute, rank, unquestioning
""Absoluut, ik zal het doen!"" - Absolutely, I will do it!


"
25,spreek,"*speak*
adjective: speaking
Ik spreek Engels. - I speak English.


"
