,Dutch,Quizlet


0,nieuw,"*new*
adjective: new, novel, fresh
Het nieuwe jaar is begonnen. - The new year has begun."


1,elk,"*each*
pronoun: each, any, everyone
adjective: every, all, whatever
adverb: apiece
Elk kind heeft recht op onderwijs. - Every child has the right to education."


2,erin,"*in it*

Erin heeft het boek gelezen. - Erin has read the book."


3,ontmoeten,"*Meet*
verb: meet, encounter, see
Ik heb haar vorige week ontmoeten. - I met her last week."


4,vechten,"*to fight*
verb: fight, battle, combat
Ik vecht voor mijn rechten. - I'm fighting for my rights."


5,voorzichtig,"*carefully*
adjective: careful, cautious, prudent
adverb: carefully, gently, gingerly
Wees voorzichtig! - Be careful!"


6,geworden,"*become*
verb: be, become, get
Ik ben een professionele schrijver geworden. = I have become a professional writer."


7,enkel,"*single*
adjective: only, single, one
adverb: only, just, merely
noun: ankle, ancle
Ik heb alleen een kop thee gehad, enkel om mezelf te verwarmen. - I only had a cup of tea, just to warm myself up."


8,kwijt,"*lost*
adjective: lost
Ik ben mijn sleutels kwijt. - I have lost my keys."


9,noemen,"*to call*
verb: call, mention, name
Ik noem het een avontuur. - I call it an adventure."


10,valt,"*fall*
verb: fall, drop, fall down
""Het valt niet mee."" - It isn't easy."


11,prachtig,"*beautiful*
adjective: wonderful, magnificent, gorgeous
adverb: superbly, gorgeously, sumptuously
phrase: up to the nines
""Het is prachtig weer vandaag!"" - ""It's beautiful weather today!"""


12,rijden,"*to ride*
verb: ride, drive away, tool
Ik rijd in een auto. - I'm driving a car."


13,zin,"*sentence*
noun: sense, sentence, want
Deze zin is in het Nederlands. - This sentence is in Dutch."


14,hield,"*loved*
verb: keep, hold, retain
Hij hield van de zon, He loved the sun."


15,daarna,"*then*
adverb: then, after, thereafter
conjunction: whereupon, whereat
Daarna gingen we naar huis. Afterwards, we went home."


16,mens,"*man*
noun: man, person, woman
De mens is een intelligent wezen. - Man is an intelligent being."


17,schieten,"*to shoot*
verb: shoot, fire, gun
Ik schiet de bal naar de goal. - I shoot the ball towards the goal."


18,grappig,"*funny*
adjective: funny, comic, amusing
adverb: facetiously, pleasantly
""Het is grappig!"" - It's funny!"


19,stap,"*step*
noun: step, move, pace
""Ik heb twee stappen in de richting van mijn doel gezet."" - I have taken two steps towards my goal."


20,zichzelf,"*herself*
pronoun: himself, themselves, itself
Zij leert zichzelf elke dag iets nieuws. - She learns something new every day."


21,kantoor,"*office*
noun: office, bureau, shop
""Het kantoor is gesloten voor de lunch."" - The office is closed for lunch."


22,wapens,"*weapons*
noun: weapon, arm, weaponry
""De soldaten droegen hun wapens."" - The soldiers carried their weapons."


23,normaal,"*normal*
adjective: normal, standard, ordinary
""Het is normaal om fouten te maken."" - It is normal to make mistakes."


24,slechte,"*poor*
adjective: bad, evil, ill
""Hij heeft een slechte reputatie."" - He has a bad reputation."


25,maakte,"*made*
verb: make, do, build
Hij maakte een taart voor zijn verjaardag. He made a cake for his birthday."


26,moord,"*murder*
noun: murder, assassination
""De moord was een schok voor iedereen in de stad."" - The murder was a shock to everyone in the town."


