,Unnamed: 0,Dutch,POS,ChatGPT_Sentence
0,400,vond,verb,"Ik vond de zaak en pakte de pakken.
I found the case and grabbed the packages."
1,401,praat,noun,"Ik sta naast mijn baas voor een praat.
I stand next to my boss for a talk."
2,402,prima,adjective,"De dag begint met een prima gezicht.
The day begins with a fine view."
3,403,betekent,verb,"Het nieuws betekent dat het vandaag druk zal zijn.
The news means that it will be busy today."
4,404,soort,noun,"Er is een soort vogel die boven de bomen begint te vliegen.

There is a kind of bird that starts flying above the trees."
5,405,zaak,noun,"De zaak begint eerder dan verwacht.
The business starts earlier than expected."
6,406,proberen,verb,"Hoi, ik probeer niet te vergeten.

Hi, I try not to forget."
7,407,jack,jack,"Jack hoeft alleen het nummer te kiezen.

Jack only needs to choose the number."
8,408,spelen,verb,"De kinderen spelen op een plek in het land.
The children play at a place in the country."
9,409,lekker,adjective,"Mijn dochter gebruikt de lekkere appel.

My daughter uses the tasty apple."
10,410,doden,verb,"De grote man gaf de opdracht om de vijand te doden.
The big man gave the order to kill the enemy."
11,411,gebruiken,verb,"Je zult water gebruiken.

You will use water."
12,412,groot,adjective,"Later zult u een groot huis zien.
Later you will see a big house."
13,413,kent,noun,"De kent is bezig met iets anders.
The knowledge is busy with something else."
14,414,boven,adverb,"De kinderen zijn boven gekomen om te spelen.
The children have come upstairs to play."
15,415,water,noun,"Ik drink zes glazen lekker water.
I drink six glasses of tasty water."
16,416,problemen,noun,"Ik snap dat er mogelijk problemen zijn.
I understand that there may be problems."
17,417,land,noun,"Nederland is een prima land, dat is de waarheid.
Netherlands is a great country, that is the truth."
18,418,sta,interjection,"Sta! Zorg voor je gezicht.

Stop! Take care of your face."
19,419,later,adverb,"Ik zal later een kop ervan nemen.  
I will take a cup of it later."
20,420,papa,noun,"Papa vertelt de waarheid met een kop koffie.  
Dad tells the truth with a cup of coffee."
21,421,pakken,verb,"Papa pakt de grote doos.
Papa grabs the big box."
22,422,week,noun,"Ik zal zoiets nooit vergeten deze week.
I will never forget something like this this week."
23,423,schat,noun,"Hij praat over zoiets als een schat.  
He talks about something like a treasure."
24,424,voordat,preposition,"Voordat je liefde zult vinden, moet je geduld hebben.
Before you will find love, you must have patience."
25,425,zoveel,adverb,"Mijn dochter is zoveel gelukkig.

My daughter is so happy."
26,426,vrij,adjective,"Het nieuws is vrij druk vandaag.
The news is quite busy today."
27,427,echte,adjective,"De echte zaak is altijd druk.  
The real business is always busy."
28,428,stoppen,verb,"Ik vond het moeilijk om met zoiets te stoppen.
I found it difficult to stop with something like that."
29,429,klootzak,noun,"De klootzak lachte in het gezicht van de vrouwen.
The jerk laughed in the face of the women."
30,430,beginnen,verb,"Ik sta klaar om vooruit te beginnen.
I am ready to start moving forward."
31,431,alstublieft,interjection,"Stel je voor, sta hier alstublieft.

Imagine, stand here please."
32,432,zodat,conjunction,"Sinds mama thuis is, kookt ze elke dag zodat we samen kunnen eten.
Since mom is home, she cooks every day so that we can eat together."
33,433,zorg,noun,"De zorg voor kinderen is belangrijk, en ze spelen graag ervan.

The care for children is important, and they like to play with it."
34,434,mooie,adjective,"De mooie kop viel neer.  
The beautiful cup fell down."
35,435,wees,noun,"Het wees was bezig met sterven.
The orphan was busy dying."
36,436,vermoorden,verb,"De dief probeerde in de nacht mama te vermoorden.
The thief tried to murder mom in the night."
37,437,mis,adjective,"Ik hoef niet te proberen, want het is mis.
I don't need to try, because it is wrong."
38,438,vooruit,adverb,"Mijn dochter loopt vooruit naar de baas.
My daughter walks ahead to the boss."
39,439,bellen,verb,"Ik moet mijn moeder bellen om te zeggen dat ik veilig ben en niets mis is.
I need to call my mother to say that I am safe and nothing is wrong."
40,440,dochter,noun,"Mijn dochter heeft een glimlach op haar gezicht en ze is tien jaar oud.
My daughter has a smile on her face and she is ten years old."
41,441,vrouwen,noun,"De vrouwen beginnen vooruit te gaan.
The women are starting to move forward."
42,442,tien,noun,"Tien is gelukkig gekomen.
Ten has happily arrived."
43,443,hoeft,verb,"Je hoeft niet te beginnen met vermoorden.
You don't have to start killing."
44,444,lopen,verb,"Ik loop naar de zaken van de ander.
I walk to the business of the other."
45,445,hart,noun,"Een soort bellen maakt mijn hart blij.
A kind of ringing makes my heart happy."
46,446,snap,verb,"Ik snap dat het moeilijk is voor mijn dochter.  
I understand that it is difficult for my daughter."
47,447,voorbij,adjective,"Wees geen klootzak nu de moeilijke tijd voorbij is.
Be no asshole now that the difficult time is over."
48,448,los,adjective,"Voordat de grote hond los is, moeten we de deur sluiten.
Before the big dog is loose, we need to close the door."
49,449,vergeten,verb,"Ik ben mijn hart vergeten in de zaak.
I forgot my heart in the shop."
50,450,gebeuren,verb,"Het is eerder moeilijk om te begrijpen wat er gaat gebeuren.  
It is rather difficult to understand what is going to happen."
51,451,bloed,noun,"Ik gebruik een pleister omdat er bloed uit mijn vinger komt.

I use a bandage because blood is coming from my finger."
52,452,druk,noun,"Wees niet boos, mama, het is gewoon druk.

Don't be mad, mom, it's just busy."
53,453,verhaal,noun,"Het verhaal over hoe ze de kat redden was lekker spannend.
The story about how they saved the cat was really exciting."
54,454,moeilijk,adjective,"Het is moeilijk om de waarheid te pakken.
It is difficult to grasp the truth."
55,455,hoi,Hi,"Hoi, wat een mooie dochter!
Hi, what a beautiful daughter!"
56,456,zes,noun,"De zes grote mannen redden de kat.
The six big men save the cat."
