,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
0,0,0,nieuw,Het nieuwe jaar is begonnen. - The new year has begun.
1,1,1,elk,Elk kind heeft recht op onderwijs. - Every child has the right to education.
2,2,2,erin,Erin heeft het boek gelezen. - Erin has read the book.
3,3,3,ontmoeten,Ik heb haar vorige week ontmoeten. - I met her last week.
4,4,4,vechten,Ik vecht voor mijn rechten. - I'm fighting for my rights.
5,5,5,voorzichtig,Wees voorzichtig! - Be careful!
6,6,6,geworden,Ik ben een professionele schrijver geworden. = I have become a professional writer.
7,7,7,enkel,"Ik heb alleen een kop thee gehad, enkel om mezelf te verwarmen. - I only had a cup of tea, just to warm myself up."
8,8,8,kwijt,Ik ben mijn sleutels kwijt. - I have lost my keys.
9,9,9,noemen,Ik noem het een avontuur. - I call it an adventure.
10,10,10,valt,"""Het valt niet mee."" - It isn't easy."
11,11,11,prachtig,"""Het is prachtig weer vandaag!"" - ""It's beautiful weather today!"""
12,12,12,rijden,Ik rijd in een auto. - I'm driving a car.
13,13,13,zin,Deze zin is in het Nederlands. - This sentence is in Dutch.
14,14,14,hield,"Hij hield van de zon, He loved the sun."
15,15,15,daarna,"Daarna gingen we naar huis. Afterwards, we went home."
16,16,16,mens,De mens is een intelligent wezen. - Man is an intelligent being.
17,17,17,schieten,Ik schiet de bal naar de goal. - I shoot the ball towards the goal.
18,18,18,grappig,"""Het is grappig!"" - It's funny!"
19,19,19,stap,"""Ik heb twee stappen in de richting van mijn doel gezet."" - I have taken two steps towards my goal."
20,20,20,zichzelf,Zij leert zichzelf elke dag iets nieuws. - She learns something new every day.
21,21,21,kantoor,"""Het kantoor is gesloten voor de lunch."" - The office is closed for lunch."
22,22,22,wapens,"""De soldaten droegen hun wapens."" - The soldiers carried their weapons."
23,23,23,normaal,"""Het is normaal om fouten te maken."" - It is normal to make mistakes."
24,24,24,slechte,"""Hij heeft een slechte reputatie."" - He has a bad reputation."
25,25,25,maakte,Hij maakte een taart voor zijn verjaardag. He made a cake for his birthday.
26,26,26,moord,"""De moord was een schok voor iedereen in de stad."" - The murder was a shock to everyone in the town."
27,27,27,gebeld,Ik heb hem gebeld. - I called him.
28,28,28,ervoor,Ik heb er hard voor gewerkt. - I worked hard for it.
29,29,29,ten,De jongen komt ten aanzien van zijn schoolwerk goed uit de bus. - The boy is doing well in terms of his schoolwork.
30,30,30,heer,"De heer is een titel die gebruikt wordt om respect te tonen.
Translation: The title ""heer"" is used to show respect."
31,31,31,loopt,Hij loopt naar de winkel - He is walking to the store.
32,32,32,einde,Het einde is in zicht. - The end is in sight.
33,33,33,gegaan,Ik ben naar de winkel gegaan. - I went to the store.
34,34,34,gang,De gang was donker. - The hallway was dark.
35,35,35,vertelde,Hij vertelde me dat hij verliefd was geworden. - He told me that he had fallen in love.
36,36,36,spel,Het spel was leuk om te spelen. - The game was fun to play.
37,37,37,informatie,De informatie is belangrijk voor ons. - The information is important for us.
38,38,38,frank,Frank is mijn lievelingsdier. = Frank is my favorite animal.
39,39,39,dames,De dames zijn mooi gekleed. - The ladies are nicely dressed.
40,40,40,naartoe,Ik ga naartoe. - I'm going there.
41,41,41,allebei,We hebben allebei een goede dag gehad. - We both had a good day.
42,42,42,leg,Ik heb mijn been gelegd. - I have lain down my leg.
43,43,43,acht,Ik heb acht boeken gelezen. - I have read eight books.
44,44,44,pap,Pap smaakt goed! - Dad tastes good!
45,45,45,seks,"""Seks is een belangrijk onderdeel van het leven."" - ""Sex is an important part of life."""
46,46,46,minder,Mijn loon is minder dan dat van mijn collega. - My salary is less than that of my colleague.
47,47,47,gevoel,Ik heb een goed gevoel over deze situatie. - I have a good feeling about this situation.
48,48,48,trouwen,Ik ga trouwen met mijn vriendin. = I am going to marry my girlfriend.
49,49,49,nogal,Ik heb nogal veel huiswerk. - I have quite a lot of homework.
50,50,50,eh,"Eh, ik ben het vergeten. - Oh, I forgot it."
51,51,51,voelen,Ik voel me goed - I feel good
52,52,52,begint,Begint het al donker te worden? - Is it starting to get dark already?
53,53,53,plezier,Ik heb veel plezier gehad. - I had a lot of fun.
54,54,54,meisjes,De meisjes zijn vrolijk. - The girls are happy.
55,55,55,stuur,Ik stuur je een bericht. - I'm sending you a message.
56,56,56,foto,"""Ik heb een foto gemaakt."" - ""I took a photo."""
57,57,57,vreemd,"""Het is vreemd dat hij niet komt."" - It is strange that he does not come."
58,58,58,zomaar,"""Ik ben zomaar naar de winkel gegaan."" = ""I just went to the store randomly."""
59,59,59,verkeerd,"""Je hebt het verkeerd begrepen"" - You have misunderstood it."
60,60,60,zeven,Ik heb zeven boeken gelezen. - I have read seven books.
61,61,61,lucht,De lucht was helder en fris. - The air was clear and fresh.
62,62,62,grond,De grond was bedekt met sneeuw. - The ground was covered in snow.
63,63,63,leeft,Hij leeft in het moment. - He lives in the moment.
64,64,64,nam,Ik heb mijn naam veranderd. - I changed my name.
65,65,65,pardon,"Pardon, wat heb je gezegd? Translation: Pardon, what did you say?"
66,66,66,verwacht,Ik verwacht dat het morgen regent. - I expect it to rain tomorrow.
67,67,67,kopen,Ik koop een nieuwe auto. - I'm buying a new car.
68,68,68,koffie,Ik heb een kop koffie nodig. - I need a cup of coffee.
69,69,69,onderzoek,Het onderzoek heeft veel nuttige informatie opgeleverd. - The research yielded a lot of useful information.
70,70,70,gesproken,Ik heb met hem gesproken. - I have spoken with him.
71,71,71,herinner,Ik herinner me de vakantie in Zuid-Frankrijk. - I remember the vacation in South France.
72,72,72,idioot,"""Hij is een idioot!"" - He is an idiot!"
73,73,73,ziekenhuis,Het ziekenhuis is waar mensen behandeld worden. - The hospital is where people are treated.
74,74,74,daarmee,"""Daarmee kunnen we onze doelen bereiken."" - With that, we can achieve our goals."
75,75,75,shit,"""Shit, ik ben mijn sleutels kwijt!"" - ""Shit, I've lost my keys!"""
76,76,76,eindelijk,"""Eindelijk heb ik mijn droomhuis gevonden!"" - Finally, I have found my dream house!"
77,77,77,perfect,Mijn leven is perfect. - My life is perfect.
78,78,78,goeie,Goeie morgen! - Good morning!
79,79,79,gisteren,Gisteren heb ik naar de bioscoop gegaan. - Yesterday I went to the movies.
80,80,80,aarde,De aarde is onze thuis. - The Earth is our home.
81,81,81,contact,Ik heb contact met mijn vrienden. - I am in contact with my friends.
82,82,82,zus,Mijn zus en ik zijn beste vrienden. - My sister and I are best friends.
83,83,83,erbij,"""Hij heeft er nog wat erbij gekregen."" - He got something extra with it."
84,84,84,beschermen,"""De mens moet de natuur beschermen."" - The human must protect nature."
85,85,85,gevangenis,"De gevangenis was een donkere en beangstigende plek.

The prison was a dark and frightening place."
86,86,86,persoon,De persoon liep door de straat. - The person walked down the street.
87,87,87,winnen,Ik heb de wedstrijd gewonnen. - I won the competition.
88,88,88,kracht,"""Met kracht duwde hij de deur open."" - With force, he pushed the door open."
89,89,89,ziek,Ik ben ziek. - I am sick.
90,90,90,omhoog,Ik kijk omhoog naar de lucht. - I look up at the sky.
91,91,91,beloof,Ik beloof je dat ik je niet zal teleurstellen. - I promise you that I won't let you down.
92,92,92,gebruik,Gebruik deze kaart om je weg te vinden. - Use this map to find your way.
93,93,93,hoezo,Hoezo? - Why?
94,94,94,degene,"Degene die het eerst komt, krijgt de beste plaatsen. - He who comes first gets the best seats."
95,95,95,trek,Ik trek mijn schoenen aan. - I am putting on my shoes.
96,96,96,meen,Ik meen het echt. - I really mean it.
97,97,97,enkele,Enkele mensen hebben al een vaccin ontvangen. - A few people have already received a vaccine.
98,98,98,getrouwd,Mijn ouders zijn getrouwd sinds 1993. - My parents have been married since 1993.
99,99,99,gevraagd,Ik heb om hulp gevraagd. - I asked for help.
