,Dutch,POS
400,vond,verb
401,praat,noun
402,prima,adjective
403,betekent,verb
404,soort,noun
405,zaak,noun
406,proberen,verb
407,jack,jack
408,spelen,verb
409,lekker,adjective
410,doden,verb
411,gebruiken,verb
412,groot,adjective
413,kent,noun
414,boven,adverb
415,water,noun
416,problemen,noun
417,land,noun
418,sta,interjection
419,later,adverb
420,papa,noun
421,pakken,verb
422,week,noun
423,schat,noun
424,voordat,preposition
425,zoveel,adverb
426,vrij,adjective
427,echte,adjective
428,stoppen,verb
429,klootzak,noun
430,beginnen,verb
431,alstublieft,interjection
432,zodat,conjunction
433,zorg,noun
434,mooie,adjective
435,wees,noun
436,vermoorden,verb
437,mis,adjective
438,vooruit,adverb
439,bellen,verb
440,dochter,noun
441,vrouwen,noun
442,tien,noun
443,hoeft,verb
444,lopen,verb
445,hart,noun
446,snap,verb
447,voorbij,adjective
448,los,adjective
449,vergeten,verb
450,gebeuren,verb
451,bloed,noun
452,druk,noun
453,verhaal,noun
454,moeilijk,adjective
455,hoi,Hi
456,zes,noun
457,eerder,adverb
458,neer,adverb
459,ervan,pronoun
460,bed,noun
461,nacht,noun
462,bezig,adjective
463,wakker,adjective
464,redden,verb
465,klein,adjective
466,gekomen,verb
467,sinds,adverb
468,kop,noun
469,zult,verb
470,begrepen,interjection
471,plek,noun
472,veilig,adjective
473,stel,noun
474,vol,adjective
475,nummer,noun
476,waarheid,noun
477,zoiets,noun
478,mevrouw,abbreviation
479,leren,verb
480,hetzelfde,pronoun
481,gaf,verb
482,baby,noun
483,baas,noun
484,gelukkig,adjective
485,meteen,adverb
486,beneden,adverb
487,waarschijnlijk,adverb
488,sterven,verb
489,gezicht,noun
490,begin,noun
491,mogelijk,adjective
492,mama,noun
493,dicht,adjective
494,zaken,noun
495,liggen,verb
496,nieuws,noun
497,ander,adjective
498,eraan,to it
499,liefde,noun
