,Dutch
600,nieuw
601,elk
602,erin
603,ontmoeten
604,vechten
605,voorzichtig
606,geworden
607,enkel
608,kwijt
609,noemen
610,valt
611,prachtig
612,rijden
613,zin
614,hield
615,daarna
616,mens
617,schieten
618,grappig
619,stap
620,zichzelf
621,kantoor
622,wapens
623,normaal
624,slechte
625,maakte
626,moord
627,gebeld
628,ervoor
629,ten
630,heer
631,loopt
632,einde
633,gegaan
634,gang
635,vertelde
636,spel
637,informatie
638,frank
639,dames
640,naartoe
641,allebei
642,leg
643,acht
644,pap
645,seks
646,minder
647,gevoel
648,trouwen
649,nogal
650,eh
651,voelen
652,begint
653,plezier
654,meisjes
655,stuur
656,foto
657,vreemd
658,zomaar
659,verkeerd
660,zeven
661,lucht
662,grond
663,leeft
664,nam
665,pardon
666,verwacht
667,kopen
668,koffie
669,onderzoek
670,gesproken
671,herinner
672,idioot
673,ziekenhuis
674,daarmee
675,shit
676,eindelijk
677,perfect
678,goeie
679,gisteren
680,aarde
681,contact
682,zus
683,erbij
684,beschermen
685,gevangenis
686,persoon
687,winnen
688,kracht
689,ziek
690,omhoog
691,beloof
692,gebruik
693,hoezo
694,degene
695,trek
696,meen
697,enkele
698,getrouwd
699,gevraagd
