,Dutch,POS
600,nieuw,adjective
601,elk,pronoun
602,erin,in it
603,ontmoeten,verb
604,vechten,verb
605,voorzichtig,adjective
606,geworden,verb
607,enkel,adjective
608,kwijt,adjective
609,noemen,verb
610,valt,verb
611,prachtig,adjective
612,rijden,verb
613,zin,noun
614,hield,verb
615,daarna,adverb
616,mens,noun
617,schieten,verb
618,grappig,adjective
619,stap,noun
620,zichzelf,pronoun
621,kantoor,noun
622,wapens,noun
623,normaal,adjective
624,slechte,adjective
625,maakte,verb
626,moord,noun
627,gebeld,verb
628,ervoor,before
629,ten,at
630,heer,noun
631,loopt,verb
632,einde,noun
633,gegaan,verb
634,gang,noun
635,vertelde,verb
636,spel,noun
637,informatie,noun
638,frank,frank
639,dames,adjective
640,naartoe,preposition
641,allebei,adjective
642,leg,noun
643,acht,noun
644,pap,noun
645,seks,noun
646,minder,adjective
647,gevoel,noun
648,trouwen,verb
649,nogal,adverb
650,eh,er
651,voelen,verb
652,begint,verb
653,plezier,noun
654,meisjes,adjective
655,stuur,noun
656,foto,noun
657,vreemd,adjective
658,zomaar,adverb
659,verkeerd,adjective
660,zeven,verb
661,lucht,noun
662,grond,noun
663,leeft,verb
664,nam,verb
665,pardon,interjection
666,verwacht,verb
667,kopen,verb
668,koffie,noun
669,onderzoek,noun
670,gesproken,verb
671,herinner,verb
672,idioot,noun
673,ziekenhuis,noun
674,daarmee,adverb
675,shit,shit
676,eindelijk,adverb
677,perfect,adjective
678,goeie,good
679,gisteren,adverb
680,aarde,noun
681,contact,noun
682,zus,noun
683,erbij,there
684,beschermen,verb
685,gevangenis,noun
686,persoon,noun
687,winnen,verb
688,kracht,noun
689,ziek,adjective
690,omhoog,adverb
691,beloof,verb
692,gebruik,noun
693,hoezo,adverb
694,degene,the one
695,trek,noun
696,meen,verb
697,enkele,adverb
698,getrouwd,adjective
699,gevraagd,adjective
