Unnamed: 0,Dutch,POS,Translation
0,ik,pronoun,I
1,je,pronoun,you
2,het,article,It
3,de,article,the
4,dat,conjunction,that
5,is,verb,is
6,een,article,An
7,niet,adverb,not
8,en,conjunction,and
9,wat,conjunction,what
10,van,preposition,by
11,we,pronoun,we
12,in,preposition,in
13,ze,pronoun,she
14,hij,pronoun,he
15,op,adverb,on
16,te,particle,at
17,zijn,pronoun,are
18,er,adverb,there
19,maar,conjunction,but
20,die,pronoun,That
21,heb,verb,have
22,me,pronoun,me
23,met,preposition,of
24,voor,preposition,for
25,als,adverb,as
26,ben,noun,am
27,was,noun,used to be
28,dit,pronoun,this
29,mijn,pronoun,mine
30,om,preposition,to
31,aan,preposition,On
32,jij,pronoun,you
33,naar,preposition,Unpleasant
34,dan,conjunction,than
35,hier,adverb,here
36,weet,verb,know
37,kan,noun,can
38,geen,adjective,no
39,nog,adverb,yet
40,moet,noun,must
41,wil,noun,want to
42,wel,adjective,well
43,ja,particle,Yes
44,zo,adverb,Like this
45,heeft,verb,has
46,hebben,auxiliary verb,to have
47,hem,pronoun,it
48,goed,adjective,Good
49,nee,particle,no
50,waar,adverb,Where
51,nu,adverb,now
52,hoe,adverb,how
53,ga,verb,go
54,haar,pronoun,her
55,uit,preposition,out
56,doen,verb,doing
57,ook,adverb,also
58,over,preposition,about
59,bent,verb,are
60,mij,pronoun,me
61,gaan,verb,to go
62,of,conjunction,or
63,kom,noun,come
64,zou,verb,would
65,al,adjective,already
66,bij,preposition,bee
67,daar,adverb,over there
68,ons,pronoun,us
69,jullie,pronoun,you
70,hebt,verb,have
71,gaat,noun,go
72,iets,pronoun,something
73,zal,auxiliary verb,shall
74,meer,adverb,more
75,waarom,adverb,Why
76,had,verb,had
77,deze,pronoun,this
78,laat,adjective,leave
79,moeten,verb,must
80,m'n,pronoun,my
81,jou,pronoun,you
82,doe,verb,do
83,wie,conjunction,Who
84,kunnen,verb,be able to
85,alles,pronoun,everything
86,denk,verb,think
87,door,preposition,Through
88,echt,adverb,Real
89,alleen,adverb,only
90,oké,Okay,Okay
91,eens,adverb,at sometime
92,dus,adverb,So
93,weg,adjective,away
94,zien,verb,to see
95,toch,adverb,However
96,man,noun,man
97,nooit,adverb,never
98,terug,adverb,back
99,laten,verb,to leave
