,Unnamed: 0,French,POS,Translation,ChatGPT_Sentence
0,200,cet,demonstrative adjective,"this, that (before vowel and mute h)","Cet vieux mec est gentil.
This old guy is kind."
1,201,main,noun,hand,"Salut, je veux apprendre à écrire avec ma main gauche.
Hello, I want to learn to write with my left hand."
2,202,cela,demonstrative pronoun,"this, that (used in formal contexts and expressions)","Cela fait partie de la porte.
That is part of the door."
3,203,vite,adverb,"quickly, fast, soon","Je dois payer vite avant de dormir.
I have to pay quickly before sleeping."
4,204,oublier,verb,"to forget, miss","Je dois ouvrir la porte avant d'entrer, mais j'ai peur d'oublier.

I need to open the door before entering, but I'm afraid of forgetting."
5,205,air,noun,"air; look, appearance, manner","Il est tant de s'asseoir et de respirer l'air frais.
It is time to sit down and breathe the fresh air."
6,206,salut,"noun, onomatopoeia","greeting; Hi!, Hello!, Bye!","Salut! Une minute pour manger.

Hi! A minute to eat."
7,207,fils,noun,son,"Le fils doit garder son travail.  
The son must keep his job."
8,208,travailler,verb,"to work, work on, practise","Je vais commencer à travailler pendant les vacances.
I will start working during the holidays."
9,209,moins,adverb,less,"Il est moins vieux en ce moment.
He is less old at the moment."
10,210,tête,noun,"head, face","Aujourd'hui, je prie pour ma tête.

Today, I pray for my head."
11,211,coup,noun,"blow, shot, kick, punch","Elles ont vu un type donner un coup.

They saw a guy give a hit."
12,212,écouter,verb,to listen to,"Je m'occupe de prier et d'écouter de la musique.
I am busy praying and listening to music."
13,213,raison,noun,reason,"Il porte un manteau sous la pluie pour une bonne raison.
He wears a coat in the rain for a good reason."
14,214,manger,verb,to eat,"Je mange une pomme près de la porte en regardant avec un oeil.
I eat an apple near the door while looking with one eye."
15,215,amour,noun,"love, love affair, cupid","Excusez le vieux monsieur, il parle de son amour perdu.

Excuse the old man, he speaks of his lost love."
16,216,entrer,verb,"to go in, enter, come in","Madame entre dans l'affaire.

The lady enters the business."
17,217,dont,"relative pronoun, interrogative pronoun","whose, of which","La personne dont je parle s'est excusée pendant la réunion.
The person I'm talking about apologized during the meeting."
18,218,nouveau,"noun, adjective","new, fresh","Tous sont heureux de retrouver le nouveau livre.

Everyone is happy to find the new book."
19,219,devenir,verb,to become,"Je veux devenir médecin pour m'occuper des patients et dormir bien la nuit.
I want to become a doctor to take care of patients and sleep well at night."
20,220,hein,onomatopoeia,"what?, eh?, Huh? (familiar)","French: Où est-ce que tu as foutu mes clés, hein ? Je ne peux pas les retrouver.

English: Where did you put my keys, huh? I can't find them."
21,221,commencer,verb,"to start, begin","Je commence le travail, combien de temps cela prendra-t-il ?
I start the work, how long will it take?"
22,222,merde,"onomatopoeia, noun","shit (vulgar), bull, crap, damn","Assez! Un coup de pied et merde!

Enough! A kick and crap!"
23,223,moment,noun,"moment, while, point","Je dois ouvrir mon portefeuille pour payer à ce moment.
I need to open my wallet to pay at this moment."
24,224,voiture,noun,"car, coach, carriage","Cette année, j'ai tant aimé ma nouvelle voiture.

This year, I loved my new car so much."
25,225,vieux,"adjective, noun","old; old man, old woman","Le vieux a attiré l'attention avec un coup de canne.
The old man attracted attention with a tap of his cane."
26,226,demain,adverb,tomorrow,"Demain, je vais porter combien de livres?

Tomorrow, how many books will I carry?"
27,227,revoir,"noun, verb","to see again, review; goodbye","Je dois revoir mon vieux projet avant de travailler dessus.

I need to review my old project before working on it."
28,228,elles,personal pronoun,they (refers to a group of feminine nouns or females),"Elles doivent payer pour occuper la maison.
They have to pay to occupy the house."
29,229,payer,verb,to pay,"Salut, je dois payer la facture dont tu parles.  
Hi, I have to pay the bill you are talking about."
30,230,fou,"adjective, noun","mad, crazy; madman, fool","Le fou veut manger avant de devenir plus fou.

The madman wants to eat before becoming crazier."
31,231,tirer,verb,"to pull, draw","Il a tiré et le sang a commencé à tomber.  
He shot and the blood started to fall."
32,232,ouvrir,verb,to open,"Je vais ouvrir la porte entre les cours pendant la pause.
I will open the door between classes during the break."
33,233,oeil,noun,"eye, view (= œil) (plural is yeux)","Le médecin a envoyé une goutte sous l'œil.

The doctor sent a drop under the eye."
34,234,fait,noun,"event, fact","Le fait nouveau a surpris toute la famille.
The new fact surprised the whole family."
35,235,changer,verb,"to change, exchange","Je veux changer de ville et de voiture.
I want to change city and car."
36,236,question,noun,"question, matter","Je vais envoyer une question à tous.

I am going to send a question to everyone."
37,237,tomber,verb,to fall,"Il ne faut ni tomber ni foutre le bazar.  
You must neither fall nor mess things up."
38,238,assez,adverb,"enough, quite, fairly","Tous les enfants ont assez d'amour.

All the children have enough love."
