French,quizlet



être,"verb, auxiliary verb, noun : *to be; being*

Être une personne gentille peut être un pouvoir.
To be a kind person can be a power."



avoir,"verb, auxiliary verb : *to have*

Il a bon se sentir heureux.
He feels good to be happy."



je,"personal pronoun : *I*

Je ne suis pas petit.
I am not small."



de,"preposition : *of, from, by, than, in, with (see #28)*

J'ai un cadeau de toi.
I have a gift from you."



ne,"adverb : *not*

Je ne trouve pas mon livre.
I can't find my book."



pas,"adverb, noun : *not; step, pace*

Toi, tu ne passes pas par ici.
You, you don't pass by here."



le,"definite article, personal pronoun : *the; him, it (refering to a masculine singular noun) (see #8, 15, 18)*

Le même chien joue avec l'autre.  
The same dog plays with the other."



la,"definite article, personal pronoun : *the; her, it (refering to a feminine singular noun) (see #7, 15, 18)*

Je vais la donner ici.
I am going to give it here."



tu,"personal pronoun : *you*

Tu as tout d'accord.
You agree with everything."



vous,"personal pronoun : *you, yourself*

Vous êtes dans la salle pour la réunion.
You are in the room for the meeting."



il,"personal pronoun : *he, it*

Il s'est arrivé à la maison.
He arrived at the house."



et,"conjunction : *and*

Elle aime son chat et se promène dans le jardin.
She loves her cat and walks in the garden."



à,"preposition : *in, to, with*

Je peux aller à la plage pour voir le coucher du soleil.
I can go to the beach to see the sunset."



un,"indefinite article : *a, an; one (used before a masculine singular noun) (see #26, 31)*

Elle a un de mes livres.
She has one of my books."



l',"definite article, personal pronoun : *the (used instead of ''le'' or ''la'' before nouns that begin with a vowel) (see #7, 8, 18)*

L'ami de vous est gentil.
Your friend is kind."



qui,"relative pronoun, interrogative pronoun : *who, whom; that, which*

Cette personne qui parle avec moi est gentille.
This person who is talking with me is kind."



aller,"verb : *to go*

Je vais parler à son ami.
I am going to talk to his friend."



les,"definite article, personal pronoun : *the; them (referring to a plural noun) (see #7, 8, 15)*

Les devoirs sont dans le sac.
The homework is in the bag."



en,"preposition, personal pronoun, adverb : *in, into, to, as*

Merci pour les fleurs, je m'en souviendrai quand tu reviendras.
Thank you for the flowers, I will remember it when you come back."



ça,"demonstrative pronoun : *this, that (see #203)*

Ça, c'est des choses à faire.
That, it's things to do."



faire,"verb : *to do, make*

Le petit garçon aime faire du bruit avec son tambour.  
The little boy likes to make noise with his drum."



tout,"adjective, indefinite adjective, indefinite pronoun, adverb, noun : *all, everything, any; very, quite*

Tout ça est plus facile.
All that is easier."



on,"personal pronoun : *we, you*

On prend ce que tu veux.
We take what you want."



que,"relative pronoun, interrogative pronoun : *that; what; which*

La question qu'elle se pose est si elle peut venir.
The question she asks herself is if she can come."



ce,"demonstrative pronoun, demonstrative adjective : *this, that (see #73, 99, 201)*

Ce livre est pour lui ou pour elle?
This book is for him or for her?"



une,"indefinite article : *a, an; one (used before a feminine singular noun); french.languagedaily.com (see #14, 31)*

Elle a une pomme, mais elle n'y touche pas.
She has an apple, but she doesn't touch it."



mes,"possessive adjective : *my (used before plural nouns) (see #50, 108)*

Mes amis ont le pouvoir de changer le monde.
My friends have the power to change the world."



