Unnamed: 0.1,Unnamed: 0,French,POS,ChatGPT_Sentence,Translation
0,100,regarder,verb,"Est-ce que vous regardez vos livres?

Are you looking at your books?",look
1,101,encore,adverb,"La fille demande encore.
The girl asks again.",Again
2,102,appeler,verb,"Je vais appeler mon ami et mettre de la musique, ouais.
I am going to call my friend and put on some music, yeah.",to call
3,103,est-ce que,adverb,"Est-ce que tu peux tenir cela sans perdre ton équilibre ?
Can you hold this without losing your balance?",is it that
4,104,peu,"noun, adverb","Ils ont peu de temps pour finir leur travail.
They have little time to finish their work.",little
5,105,homme,noun,"L'homme aide un ami à écrire son nom.
The man helps a friend write his name.",man
6,106,partir,verb,"Je vais partir, mais je veux regarder le film avant de m'arrêter.

I am going to leave, but I want to watch the movie before stopping.",leave
7,107,ma,possessive adjective,"Ma première amie est gentille.
My first friend is kind.",my
8,108,toujours,adverb,"Je finis toujours mes devoirs parce que c'est important.  
I always finish my homework because it's important.",always
9,109,jour,noun,"Oh, ses amis sont venus ce jour.
Oh, his friends came this day.",day
10,110,femme,noun,"La femme aime vivre et profiter du temps.

The woman loves to live and enjoy the time.",women
11,111,temps,noun,"Quelle femme a le temps pour ça?
Which woman has the time for that?",time
12,112,maintenant,adverb,"Maintenant, quelqu'un parle beaucoup.

Now, someone is talking a lot.",NOW
13,113,notre,possessive adjective,"Notre maison est quelque peu petite.
Our house is somewhat small.",OUR
14,114,vie,noun,"La vie est belle quand on est en accord avec chaque heure.

Life is beautiful when one is in harmony with each hour.",life
15,115,deux,numerical adjective,"Il est deux heures, je peux t'aider.
It is two o'clock, I can help you.",two
16,116,mettre,verb,"Mettez vos gens au travail.
Put your people to work.",put
17,117,rester,verb,"Je veux rester ici sans arrêter.  
I want to stay here without stopping.",stay
18,118,sans,preposition,"Il marche sans s'arrêter, seul dans la rue.
He walks without stopping, alone in the street.",without
19,119,seul,"adjective, noun","Il est seul chez lui sans argent.
He is alone at home without money.",alone
20,120,arrêter,verb,"Le monde doit arrêter une fois pour réfléchir.

The world must stop once to reflect.",Stop
21,121,vraiment,adverb,"Je cherche vraiment une maison.
I am really looking for a house.",Really
22,122,connaître,verb,"Je veux rendre visite à mon père pour connaître ses amis.
I want to visit my father to get to know his friends.",to know
23,123,quelque,"indefinite adjective, adverb","Il y a quelque mal à revenir tard.
There is some harm in coming back late.",some
24,124,sûr,adjective,"Mon père est sûr que le problème est résolu.
My father is sure that the problem is solved.",on
25,125,tuer,verb,"Il ne faut pas juste mettre fin à la guerre, il faut aussi arrêter de tuer.
We must not just end the war, we must also stop killing.",kill
26,126,mourir,verb,"Je peux sentir que l'heure de mourir approche.
I can feel that the hour to die is approaching.",die
