,index,Dutch,Frequency,cumsum
0,800,geest,19204,89.01965080332572
1,801,gingen,19194,89.03034490126176
2,802,straat,19185,89.04103398477238
3,803,slechts,19175,89.05171749669921
4,804,verkeerde,19172,89.06239933715091
5,805,slaan,19171,89.07308062044422
6,806,FBI,19103,89.08372401696772
7,807,afgelopen,19035,89.09432952672142
8,808,hotel,19031,89.1049328078416
9,809,bekend,19028,89.11553441748666
10,810,ene,18988,89.12611374079651
11,811,ruimte,18932,89.13666186323712
12,812,lange,18891,89.14718714218418
13,813,trouwens,18890,89.15771186397285
14,814,feest,18874,89.16822767122746
15,815,vliegen,18847,89.17872843520581
16,816,boot,18845,89.18922808486741
17,817,meester,18785,89.19969430502624
18,818,doel,18759,89.2101460390672
19,819,zolang,18755,89.22059554447463
20,820,regels,18728,89.23103000660583
21,821,stomme,18662,89.24142769628398
22,822,begonnen,18629,89.2518069997356
23,823,zak,18614,89.26217794581154
24,824,absoluut,18610,89.27254666325396
25,825,spreek,18561,89.28288807993577
26,826,stom,18549,89.29322281071704
27,827,bestaat,18538,89.30355141275614
28,828,welk,18524,89.31387221457791
29,829,gevaarlijk,18518,89.32418967344941
30,830,jawel,18482,89.33448707461926
31,831,mocht,18462,89.3447733326215
32,832,goedemorgen,18460,89.355058476307
33,833,wilden,18401,89.3653107476481
34,834,erger,18342,89.3755301466448
35,835,vreselijk,18250,89.38569828707061
36,836,zodra,18225,89.39585249853691
37,837,geraakt,18208,89.40599723831077
38,838,nadat,18165,89.41611802027431
39,839,vertrouw,18156,89.42623378781244
40,840,kolonel,18129,89.43633451207431
41,841,voelde,18124,89.4464324505443
42,842,kleren,18114,89.45652481743048
43,843,rug,18066,89.46659044071446
44,844,naast,18065,89.47665550684005
45,845,totdat,17937,89.48664925669306
46,846,verliefd,17921,89.496634092012
47,847,lukt,17899,89.50660666984659
48,848,wonen,17894,89.51657646188929
49,849,lieve,17885,89.52654123950657
50,850,gaten,17884,89.53650545996547
51,851,raar,17802,89.54642399343726
52,852,geprobeerd,17778,89.55632915510793
53,853,geleerd,17694,89.56618751547472
54,854,erover,17584,89.57598458841977
55,855,raad,17563,89.58576996103886
56,856,volg,17553,89.59554976207414
57,857,verkopen,17543,89.60532399152564
58,858,geweldige,17535,89.61509376371009
59,859,zover,17502,89.62484514966803
60,860,red,17457,89.63457146349889
61,861,woont,17449,89.64429332006272
62,862,Amerika,17421,89.65399957619191
63,863,lul,17403,89.66369580347028
64,864,gedacht,17366,89.6733714158886
65,865,bewijzen,17361,89.68304424251502
66,866,prijs,17348,89.6927098260825
67,867,www,17331,89.70236593795755
68,868,raken,17313,89.71201202098176
69,869,voorstellen,17306,89.72165420389732
70,870,vorige,17290,89.7312874722788
71,871,regel,17284,89.74091739770999
72,872,schrijven,17273,89.75054119439902
73,873,rot,17272,89.76016443392967
74,874,gebouw,17260,89.76978098755977
75,875,trekken,17238,89.77938528370552
76,876,herinneren,17235,89.78898790837613
77,877,dansen,17139,89.79853704584231
78,878,gebracht,17060,89.8080421677965
79,879,meeste,17030,89.81753057499931
80,880,koud,16997,89.8270005959756
81,881,jammer,16949,89.83644387334968
82,882,wegwezen,16918,89.84586987881399
83,883,macht,16913,89.8552930984864
84,884,drugs,16889,89.8647029463577
85,885,geboren,16844,89.87408772210192
86,886,dragen,16831,89.88346525478721
87,887,keuze,16822,89.89283777304709
88,888,gefeliciteerd,16806,89.9022013767729
89,889,situatie,16790,89.91155606596463
90,890,missen,16782,89.92090629788933
91,891,honger,16742,89.93023424347885
92,892,betaald,16717,89.93954826010888
93,893,liefje,16701,89.94885336220483
94,894,duurt,16676,89.9581445353413
95,895,schelen,16664,89.96742902257722
96,896,kaart,16650,89.97670570959582
97,897,rij,16597,89.98595286722032
98,898,bal,16571,89.99518553872694
99,899,werkte,16525,90.0043925809481
100,900,gedachten,16524,90.0135990660109
101,901,derde,16491,90.02278716484716
102,902,rennen,16482,90.03197024925801
103,903,namen,16476,90.04114999071858
104,904,teken,16474,90.05032861786239
105,905,speelt,16462,90.05950055910564
106,906,stem,16449,90.06866525728996
107,907,bedrijf,16447,90.07782884115754
108,908,moe,16438,90.08698741059969
109,909,tenzij,16434,90.09614375140832
110,910,dom,16431,90.10529842074182
111,911,vlucht,16426,90.11445030428341
112,912,raak,16424,90.12360107350825
113,913,relatie,16409,90.1327434853574
114,914,lachen,16406,90.1418842257314
115,915,leuke,16383,90.15101215146268
116,916,schuldig,16377,90.16013673424368
117,917,negen,16367,90.16925574544089
118,918,tafel,16343,90.17836138483699
119,919,sneller,16287,90.18743582336383
120,920,James,16285,90.19650914757392
121,921,jong,16260,90.20556854282452
122,922,vanwege,16260,90.21462793807513
123,923,beide,16258,90.22368621900897
124,924,viel,16249,90.23273948551738
125,925,oog,16228,90.24178105169985
126,926,leek,16213,90.2508142605066
127,927,gestuurd,16199,90.25983966909605
128,928,lijn,16148,90.26883666260815
129,929,grapje,16099,90.27780635535966
130,930,komaan,16065,90.28675710472626
131,931,moesten,16060,90.29570506830096
132,932,daarvoor,16038,90.30464077439132
133,933,onderweg,16024,90.31356868026435
134,934,lijst,16015,90.32249157171198
135,935,vanuit,16011,90.33141223452608
136,936,band,15996,90.3403245399645
137,937,gelooft,15967,90.3492206878099
138,938,gemist,15941,90.35810234953745
139,939,sleutel,15904,90.36696339640494
140,940,lag,15866,90.37580327125401
141,941,kont,15861,90.3846403603112
142,942,reis,15857,90.39347522073487
143,943,arm,15856,90.40230952400015
144,944,show,15845,90.41113769852326
145,945,vertelt,15838,90.41996197293771
146,946,groep,15822,90.4287773328181
147,947,belde,15820,90.43759157838171
148,948,zweer,15738,90.44636013695822
149,949,agenten,15725,90.4551214524758
150,950,eer,15715,90.46387719640957
151,951,onmogelijk,15691,90.47261956854223
152,952,steek,15668,90.48134912603217
153,953,hel,15592,90.49003633948527
154,954,zwaar,15564,90.49870795250374
155,955,tuurlijk,15444,90.50731270651667
156,956,bevel,15387,90.51588570250198
157,957,jonge,15282,90.52440019685743
158,958,kerk,15257,90.53290076225339
159,959,huwelijk,15205,90.54137235541363
160,960,delen,15179,90.54982946245599
161,961,sla,15172,90.5582826693897
162,962,Amerikaanse,15170,90.56673476200665
163,963,wedstrijd,15148,90.57517459713925
164,964,maat,15142,90.58361108932158
165,965,allen,15136,90.59204423855363
166,966,gebroken,15099,90.60045677292563
167,967,dromen,15070,90.60885314970463
168,968,direct,15048,90.61723726899928
169,969,luitenant,15007,90.62559854480037
170,970,planeet,14944,90.63392471962355
171,971,vooral,14885,90.64221802210236
172,972,missie,14876,90.65050631015572
173,973,midden,14873,90.65879292673397
174,974,gezin,14868,90.6670767575203
175,975,gisteravond,14856,90.6753539024061
176,976,leiden,14837,90.68362046128267
177,977,dame,14831,90.69188367720898
178,978,bericht,14807,90.70013352133417
179,979,angst,14805,90.70838225114261
180,980,stierf,14766,90.71660925177423
181,981,wagen,14759,90.72483235229721
182,982,blijkbaar,14752,90.73305155271153
183,983,kapot,14720,90.74125292405772
184,984,zoekt,14718,90.74945318108713
185,985,ziel,14706,90.75764675221599
186,986,positie,14676,90.76582360859348
187,987,waarvoor,14669,90.7739965648623
188,988,respect,14634,90.78215002058784
189,989,wet,14615,90.79029289030417
190,990,gesprek,14615,90.7984357600205
191,991,verleden,14593,90.80656637225248
192,992,kost,14592,90.81469642732608
193,993,links,14520,90.82278636699635
194,994,witte,14506,90.83086850644932
195,995,ring,14427,90.83890663039031
196,996,da's,14384,90.84692079652098
197,997,regelen,14382,90.85493384833488
198,998,computer,14377,90.86294411435689
199,999,dronken,14373,90.87095215174539
