,rank,lemma,Spanish,lemma (disambiguated),show
0,1.0,que,que,,que
1,2.0,de,de,,de
2,3.0,no,no,,no
3,4.0,a,a,,a
4,5.0,la,la,,la
5,6.0,el,el,,el
6,7.0,ser,es,,*es* (ser)
7,8.0,y,y,,y
8,9.0,en,en,,en
9,10.0,lo,lo,,lo
10,11.0,un,un,,un
11,12.0,por,por,,por
12,13.0,qué,qué,,qué
13,14.0,me,me,,me
14,15.0,un,una,,*una* (un)
15,16.0,te,te,,te
16,17.0,lo,los,,*los* (lo)
17,18.0,se,se,,se
18,19.0,con,con,,con
19,20.0,para,para,,para
20,21.0,mi,mi,,mi
21,22.0,estar,está,,*está* (estar)
22,23.0,si,si,,si
23,24.0,bien,bien,,bien
24,25.0,pero,pero,,pero
25,26.0,yo,yo,,yo
26,27.0,eso,eso,,eso
27,28.0,la,las,,*las* (la)
28,29.0,sí,sí,,sí
29,30.0,su,su,,su
30,31.0,tu,tu,,tu
31,32.0,aquí,aquí,,aquí
32,33.0,del,del,,del
33,34.0,al,al,,al
34,35.0,como,como,como,como
35,35.0,comer,como,comer,*como* (comer)
36,36.0,le,le,,le
37,37.0,más,más,,más
38,38.0,esto,esto,,esto
39,39.0,ya,ya,,ya
40,40.0,todo,todo,,todo
41,41.0,esta,esta,,esta
42,42.0,ir,vamos,,*vamos* (ir)
43,43.0,muy,muy,,muy
44,44.0,haber,hay,,*hay* (haber)
45,45.0,ahora,ahora,,ahora
46,46.0,algo,algo,,algo
47,47.0,estar,estoy,,*estoy* (estar)
48,48.0,tener,tengo,,*tengo* (tener)
49,49.0,nos,nos,,nos
50,50.0,tú,tú,,tú
51,51.0,nada,nada,,nada
52,52.0,cuando,cuando,,cuando
53,53.0,haber,ha,,*ha* (haber)
54,54.0,este,este,,este
55,55.0,saber,sé,,*sé* (saber)
56,56.0,estar,estás,,*estás* (estar)
57,57.0,así,así,,así
58,58.0,poder,puedo,,*puedo* (poder)
59,59.0,cómo,cómo,,cómo
60,60.0,querer,quiero,,*quiero* (querer)
61,61.0,sólo,sólo,,sólo
62,62.0,ser,soy,,*soy* (ser)
63,63.0,tener,tiene,,*tiene* (tener)
64,64.0,gracias,gracias,,gracias
65,65.0,o,o,,o
66,66.0,él,él,,él
67,67.0,bueno,bueno,,bueno
68,68.0,ser,fue,ser,*fue* (ser)
69,68.0,ir,fue,ir,*fue* (ir)
70,69.0,ser,ser,,ser
71,70.0,hacer,hacer,,hacer
72,71.0,ser,son,,*son* (ser)
73,72.0,todo,todos,,*todos* (todo)
74,73.0,ser,era,,*era* (ser)
75,74.0,ser,eres,,*eres* (ser)
76,75.0,vez,vez,,vez
77,76.0,tener,tienes,,*tienes* (tener)
78,77.0,creer,creo,,*creo* (creer)
79,78.0,ella,ella,,ella
80,79.0,haber,he,,*he* (haber)
81,80.0,ese,ese,,ese
82,81.0,ir,voy,,*voy* (ir)
83,82.0,poder,puede,,*puede* (poder)
84,83.0,saber,sabes,,*sabes* (saber)
85,84.0,hola,hola,,hola
86,85.0,su,sus,,*sus* (su)
87,86.0,porque,porque,,porque
88,87.0,dios,dios,,dios
89,88.0,quién,quién,,quién
90,89.0,nunca,nunca,,nunca
91,90.0,dónde,dónde,,dónde
92,91.0,querer,quieres,,*quieres* (querer)
93,92.0,casa,casa,casa,casa
94,92.0,casar,casa,casar,*casa* (casar)
95,93.0,favor,favor,,favor
96,94.0,ese,esa,,*esa* (ese)
97,95.0,dos,dos,,dos
98,96.0,tanto,tan,,*tan* (tanto)
99,97.0,señor,señor,,señor
100,98.0,tiempo,tiempo,,tiempo
101,99.0,verdad,verdad,,verdad
102,100.0,estar,estaba,,*estaba* (estar)
103,101.0,mejor,mejor,,mejor
104,102.0,estar,están,,*están* (estar)
105,103.0,ir,va,,*va* (ir)
106,104.0,hombre,hombre,,hombre
107,105.0,usted,usted,,usted
108,106.0,mucho,mucho,,mucho
109,107.0,hacer,hace,,*hace* (hacer)
110,108.0,entonces,entonces,,entonces
111,109.0,sentir,siento,sentir,*siento* (sentir)
112,109.0,sentar,siento,sentar,*siento* (sentar)
113,110.0,tener,tenemos,,*tenemos* (tener)
114,111.0,poder,puedes,,*puedes* (poder)
115,112.0,ahí,ahí,,ahí
116,113.0,ti,ti,,ti
117,114.0,vida,vida,,vida
118,115.0,ver,ver,,ver
119,116.0,alguien,alguien,,alguien
