,Dutch,Quizlet
0,stinkt,"verb, stink smell reek"
1,uiteraard,"adverb, naturally"
2,makker,"noun, buddy companion pal"
3,vanmiddag,"No Google Info, No Google Info"
4,aangekomen,"verb, arrive come land"
5,meedoen,"verb, participate join in run"
6,minst,"adjective, least"
7,maag,"noun, stomach tummy rumen"
8,route,"noun, route road course"
9,omgaan,"verb, handle circumvent intercommunicate"
10,hoogste,"adjective, paramount meridian last"
11,verrader,"noun, traitor betrayer Judas"
12,indrukwekkend,"adjective, impressive imposing commanding"
13,mogelijkheden,"noun, possibility opportunity possible"
14,Helen,"verb, heal recover cure"
15,gebaseerd,"verb, base found"
16,Nederlandse,"noun, Dutchwoman"
17,verschuldigd,"adjective, due owing indebted"
18,lever,"noun, liver"
19,scheiden,"verb, separate divorce part"
20,sprong,"noun, jump leap hop"
21,daarbinnen,"No Google Info, No Google Info"
22,wolf,"noun, wolf devil caries"
23,whisky,"noun, whiskey usquebaugh tanglefoot"
24,lady,"noun, lady dame queen"
25,live,"adjective, straight"
26,voldoende,"adjective, sufficient enough adequate"
27,onderzocht,"verb, examine investigate research"
28,universum,"noun, universe"
29,ontzettend,"adjective, tremendous enormous appalling"
30,gevochten,"verb, fight battle combat"
31,Marshall,"No Google Info, No Google Info"
32,pop,"noun, doll dummy puppet"
33,lijf,"noun, body"
34,douche,"noun, shower douche"
35,hieruit,"No Google Info, No Google Info"
36,junior,"noun, junior"
37,golf,"noun, golf wave gulf"
38,Amerikaan,"No Google Info, No Google Info"
39,kut,"noun, pussy cunt vagina"
40,model,"noun, model pattern shape"
41,geldt,"verb, obtain"
42,seizoen,"noun, season"
43,omlaag,"adverb, below"
44,nummers,"noun, number digit cipher"
45,trainen,"verb, train coach school"
46,mijl,"noun, mile furlong"
47,jongeman,"noun, lad"
48,welnee,"No Google Info, No Google Info"
49,broertje,"No Google Info, No Google Info"
50,marine,"noun, navy waterscape sea power"
51,pakte,"verb, tackle pack take"
52,wandelen,"verb, walk stroll wander"
53,herstellen,"verb, restore recover repair"
54,robot,"noun, robot"
55,ongerust,"adjective, anxious uneasy"
56,vijftig,
57,gegooid,"verb, throw toss cast"
58,duisternis,"noun, darkness dark obscurity"
59,jochie,"noun, laddie urchin kiddy"
60,hi,"interjection, Hi!"
61,hekel,"noun, dislike hackle abhorrence"
62,doodgaan,"verb, die peg out walk"
63,Cole,"No Google Info, No Google Info"
64,briefje,"noun, bill chit memo"
