,Unnamed: 0,Russian,POS,Sentence
0,801,текст,s,"[('Есть много способов разнообразить ваш текст.', 'There are a few different ways to align your text.'), ('Сегодняшний текст предлагает нам другой опыт.', ""But today's text has another lesson for us."")]"
1,802,сюда,advpro,"[('В противном случае дорога приведёт сюда.', 'Eventually, the road leads you here.'), ('Вот почему я пригласил его сюда.', 'That is why I invited him here.')]"
2,803,темный,a,"[('Мы вступаем в новый темный век.', 'We are entering a new, dark era.'), ('Он придает им более темный оттенок.', 'She shows them a dark passage.')]"
3,804,защита,s,"[('Причем такая защита далеко не универсальна.', 'Unfortunately, this protection is not universal.'), ('Но подобная защита отнюдь не гарантирована.', 'That protection is by no means guaranteed.')]"
4,805,предлагать,v,"[('Поэтому я даже не буду предлагать.', ""This is why I didn't even offer.""), ('Стало неприличным предлагать даме куриную ножку...', 'It has become reckless to offer the lady a chicken leg.')]"
5,806,руководство,s,"[('После этого руководство менялось два раза.', 'Since then leadership has changed twice.'), ('Паркер передал ему тактическое руководство атакой.', 'Parker gave him the tactical leadership attack.')]"
6,807,вовсе,adv,"[('Некоторые из них не возвращаются вовсе.', ""Some of them don't come back at all.""), ('Их мы рекомендовать не будем вовсе.', 'We would not recommend them at all.')]"
7,808,площадь,s,"[('Карта позволяет измерить расстояние и площадь.', 'This tool allows you to measure distance and area.'), ('Одна площадь плавно перетекает в другую.', 'One area flows seamlessly into another.')]"
8,809,сознание,s,"[('Лучше спросите об этом сознание человечества.', 'Take a look at the consciousness of humanity.'), ('Это когда можно даже потерять сознание.', ""And that's when you'd lose consciousness."")]"
9,810,гражданский,a,"[('Необходимо иметь с собой гражданский паспорт.', 'It is necessary to have a civil passport with you.'), ('Не путайте гражданский и уголовный кодексы.', ""I'm not confusing civil and criminal law."")]"
10,811,убить,v,"[('На деле приятели планируют его убить.', 'Some actually planned to kill him.'), ('Вы не собираетесь убить своего отца.', ""You're going to kill your father."")]"
11,812,возраст,s,"[('Все мы вступаем в такой возраст...', 'We are all getting to that age.'), ('Не следует делать скидку на возраст.', 'No adjustment for age is required.')]"
12,813,молчать,v,"[('Я не собираюсь стоять и молчать.', 'I will not stand by and be silent.'), ('Каждый свободный кондиционер постоянных должна молчать.', 'Every free standing air conditioner needs to be silent.')]"
13,814,согласиться,v,"[('Я склонен согласиться с вашей позицией.', 'I tend to agree with your position.'), ('Могу согласиться только с первым высказыванием.', 'I can only agree with the first statement.')]"
14,815,участник,s,"[('Баннеры и рекламные ролики предоставляет участник.', 'Banners and videos are provided by the participant.'), ('Постоянный участник тематических конференций и симпозиумов.', 'Regular participant of thematic conferences and symposia.')]"
15,816,участок,s,"[('Весь участок находится в окружении деревьев.', 'The whole plot is surrounded by trees.'), ('Это довольно простой участок для автоматизации.', 'This is already a relatively easy area to automate.')]"
16,817,рано,adv,"[('Многие модели начинают карьеру достаточно рано.', 'Many of them begin their career very early.'), ('Мы рано встали для долгой поездки.', 'We got up early for the long drive.')]"
17,818,пункт,s,"[('И нам пришлось этот пункт снять.', 'I had to break up this paragraph.'), ('Этот пункт я приводил выше полностью.', 'I have given the entire paragraph above.')]"
18,819,несмотря,adv,"[('Понравились блески даже несмотря на затекания.', 'I like the dress despite the flaw though.'), ('И это несмотря на официальный запрет.', 'This is despite an official ban.')]"
19,820,сильно,adv,"[('Однако сильно винить работников тоже нельзя.', 'But we can only blame the workers too much.'), ('И это сильно путало наших игроков.', 'It confused my players too much.')]"
20,821,столь,advpro,"[('Аналитики не ожидали столь существенного показателя.', 'Experts had not expected such a significant increase.'), ('Возможно поэтому наше движение столь популярно .', ""Perhaps this is why we've been so popular."")]"
21,822,сообщить,v,"[('Тот может сообщить об этом полиции.', 'He can report it to the police.'), ('Мне в настоящее время нечего сообщить.', 'I have nothing to report at the moment.')]"
