Unnamed: 0.1,Unnamed: 0,Russian,POS,ChatGPT_Sentence,Translation
0,801,текст,noun,"Я хотел бежать, но решил прочитать что-нибудь и нашёл интересный текст.

I wanted to run, but decided to read something and found an interesting text.",text
1,802,сюда,adverb pronoun,"Сюда пришёл гражданский, и все начали молчать.

A civilian came here, and everyone started to be silent.",here
2,803,темный,adjective,"На площади стоял глубокий и темный колодец.
On the square stood a deep and dark well.",dark
3,804,защита,noun,"Защита и безопасность являются прямой обязанностью каждого гражданина.

Protection and safety are the direct responsibility of every citizen.",protection
4,805,предлагать,verb,"Он тихо предлагал свою услугу.

He quietly offered his service.",suggest
5,806,руководство,noun,"Руководство по гражданскому садоводству поможет вам создать красивый сад.

The guide to civil gardening will help you create a beautiful garden.",management
6,807,вовсе,adverb,"Кажется, я вовсе не могу бежать так быстро, как раньше.
It seems I can't run as fast as before at all.",at all
7,808,площадь,noun,"Генерал проверил безопасность на площади.
The general checked the safety in the square.",square
8,809,сознание,noun,"Почему-то его сознание не воспринимало этот участок дороги.

For some reason, his consciousness did not perceive this section of the road.",consciousness
9,810,гражданский,adjective,"В книге мало содержания о гражданских правах.
In the book, there is little content about civil rights.",civil
10,811,убить,verb,"Он хотел убить время, петь песни и не думать о финансовых проблемах.  
He wanted to kill time, sing songs, and not think about financial problems.",kill
11,812,возраст,noun,"Содержание книги не зависит от возраста, и я надеюсь, что она будет интересной.

The content of the book does not depend on age, and I hope it will be interesting.",age
12,813,молчать,verb,"Он никак не мог помочь, только молчал.
He couldn't help at all, he just stayed silent.",keep silent
13,814,согласиться,verb,"Я согласился помогать с покупкой продуктов.
I agreed to help with buying groceries.",agree
14,815,участник,noun,"Участник команды состоит из пяти человек, и у каждого есть наушники на ушах.

The team member consists of five people, and each has headphones on their ears.",participant
15,816,участок,noun,"Понятие ""участок"" может значить небольшую часть земли.

The concept of ""plot"" can mean a small piece of land.",plot
16,817,рано,adverb,"Участник пришёл на пункт рано.
The participant arrived at the point early.",early
17,818,пункт,noun,"Я надеюсь, что пункт назначения находится недалеко от моего дома.
I hope that the destination point is not far from my house.",paragraph
18,819,несмотря,adverb,"Несмотря на дождь, он почему-то продолжал петь.

Despite the rain, he somehow continued to sing.",despite
19,820,сильно,adverb,"Он показался сильно боевым.
He seemed very combative.",strongly
20,821,столь,adverb pronoun,"Он был столь открытый, что у всех возникнуть вопросы.
He was so open that everyone had questions.",so
21,822,сообщить,verb,"Он решил сообщить полиции, что кто-то угрожал убить его, когда он служил в армии.
He decided to inform the police that someone threatened to kill him when he served in the army.",to report
22,823,линия,noun,"Художник нарисовал линию, несмотря на свой страх.

The artist drew a line despite his fear.",line
23,824,бежать,verb,"Он начал бежать по прямой дороге, чтобы подняться на холм.
He started running along the straight road to climb the hill.",run
24,825,желание,noun,"Внешний председатель выразил желание помочь нам.

The external chairman expressed a desire to help us.",wish
25,826,папа,noun,"Папа и парень пошли в спортивный комплекс.

Dad and the guy went to the sports complex.",dad
26,827,кажется,adverb,"Кажется, этот курс улучшит моё зрение.
It seems this course will improve my vision.",Seems
27,828,петь,verb,"Участник поднялся на сцену, чтобы петь.

The participant went up on stage to sing.",sing
28,829,доктор,noun,"Доктор почему-то вызывает у меня страх.
The doctor somehow causes me fear.",doctor
29,830,губа,noun,"Понятие ""губа"" относится к участку лица.

The concept of ""lip"" refers to a part of the face.",lip
30,831,известно,adverb,"Известно, что он решил отдать свою старую книгу в библиотеку.
It is known that he decided to donate his old book to the library.",known
31,832,дома,adverb,"Я читаю боевой текст дома.
I am reading a combat text at home.",Houses
32,833,вызывать,verb,"Эта проблема может вызывать комплекс трудностей, которые будут возникать снова и снова.

This problem can cause a complex of difficulties that will arise again and again.",call
33,834,дочь,noun,"Папа хочет сообщить новость своей дочери.
Dad wants to tell the news to his daughter.",daughter
34,835,показаться,verb,"Мне показалось, что у него есть желание быть более открытым.

It seemed to me that he had a desire to be more open.",appear
35,836,среда,noun,"В среду он будет служить в армии и учиться использовать оружие.
On Wednesday, he will serve in the army and learn to use weapons.",Wednesday
36,837,председатель,noun,"Доктор кажется председателем на этом собрании.
The doctor seems to be the chairman at this meeting.",chairman
37,838,представление,noun,"Известно, что на выставке будет представление нового оружия.
It is known that there will be a presentation of new weapons at the exhibition.",performance
38,839,солдат,noun,"Парень мечтал стать солдатом, но выбрал финансовую карьеру.

The guy dreamed of becoming a soldier, but chose a financial career.",soldier
