,word,translation
0,que,"adjective: what.  conjunction: that, than.  pronoun: what, that.  "
1,de,"preposition: of, from, by.  conjunction: than.  adverb: off.  "
2,no,"particle: not, no, nay.  "
3,a,"preposition: to, at, of.  "
4,la,"article: the.  noun: la, A.  pronoun: her, it, you.  "
5,el,article: the.  
6,es,"phrase: this is, you are.  "
7,y,conjunction: and.  
8,en,"preposition: in, on, at.  "
9,lo,"article: the.  pronoun: it, him, to it.  "
10,un,"article: a, an.  adjective: one.  "
11,por,"preposition: by, for, per.  "
12,qué,adjective: what.  adverb: what.  
13,me,"pronoun: me, myself.  "
14,una,"article: a, an.  adjective: one.  "
15,te,"pronoun: you, thee, yourself.  "
16,los,article: the.  pronoun: them.  
17,se,"pronoun: oneself, self.  abbreviation: o.s..  "
18,con,"preposition: with, by, cum.  "
19,para,"preposition: for, to, of.  conjunction: in order to, so as to.  "
20,mi,"pronoun: my, myself.  noun: mi, E.  "
21,está,adjective: this.  pronoun: this one.  
22,si,"noun: si, B.  conjunction: once, supposing.  "
23,bien,"adjective: well, nice.  adverb: well, good, right.  noun: good, right, sake.  "
24,pero,"conjunction: but, only.  noun: but.  "
25,yo,pronoun: I.  noun: self.  
26,eso,"pronoun: that, it.  "
27,las,article: the.  pronoun: them.  
28,sí,"noun: yes, yea.  particle: yes, yeah, yea.  pronoun: himself, herself, oneself.  abbreviation: o.s..  "
29,su,"pronoun: your, his, its.  adjective: his.  "
30,tu,pronoun: your.  adjective: thy.  
31,aquí,"adverb: here, hither.  "
32,del,of
33,al,"preposition: to the, at the.  "
34,como,"adverb: as, like.  conjunction: as.  preposition: as, like, by way of.  "
35,le,"pronoun: you, him, it.  "
36,más,"adjective: more, most, plus.  adverb: more, most, other.  noun: more, plus.  suffix: most.  "
37,esto,pronoun: this.  
38,ya,"adverb: already, anymore, by now.  "
39,todo,"adjective: all, whole, entire.  adverb: all, every inch.  noun: all, whole, the lot.  pronoun: all, everything, all of.  phrase: the whole bag of tricks.  "
40,esta,adjective: this.  pronoun: this one.  
41,vamos,we go
42,muy,"adverb: very, highly, too.  adjective: nice.  "
43,hay,"adverb: there.  phrase: there are, there is.  abbreviation: there's, there're.  "
44,ahora,"adverb: now, nowadays, presently.  "
45,algo,"adverb: something, anything, somewhat.  pronoun: something, some, anything.  noun: aught, trifle.  abbreviation: sth..  "
46,estoy,auxiliary verb: am.  
47,tengo,"verb: have, keep, own.  "
48,nos,pronoun: us.  
49,tú,"pronoun: you, thou.  "
50,nada,"pronoun: nothing, any, none.  noun: nothingness, naught, nil.  adverb: not at all, not any the.  "
51,cuando,"adverb: when, as, whenever.  conjunction: when, as, if.  preposition: at the time of, in the event of.  "
52,ha,verb: have.  
53,este,adjective: this.  pronoun: this one.  noun: east.  
54,sé,"pronoun: oneself, self.  abbreviation: o.s..  "
55,estás,adjective: these.  pronoun: these.  
56,así,"adverb: so, thus, thereby.  "
57,puedo,"verb: be able to, can, may.  "
58,cómo,conjunction: how.  
59,quiero,phrase: I want ....  
60,sólo,"adverb: only, just, alone.  adjective: unique.  pronoun: by oneself.  "
61,soy,auxiliary verb: am.  
62,tiene,phrase: you have.  
63,gracias,noun: thanks.  
64,o,"conjunction: or, either.  "
65,él,pronoun: he.  
66,bueno,"adjective: good, nice, kind.  adverb: alright.  noun: goody.  "
67,fue,"verb: be, come, come of.  "
68,ser,"verb: be, come, come of.  noun: being, thing.  "
69,hacer,"verb: do, make, ask.  "
70,son,"verb: be, come, come of.  "
71,todos,"adjective: all, every, any and every.  adverb: all, all people, one and all.  noun: all.  pronoun: all, everyone, everybody.  "
