,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
0,300,puerta,puerta,puerta,"La nueva puerta ha sido dicho que es muy resistente.
The new door has been said to be very sturdy."
1,301,ves,*ves* (ver),ver,"Debes tomar el libro que ves.
You must take the book that you see."
2,302,vaya,*vaya* (ir),ir,"Primero, déjame ir al mercado.

First, let me go to the market."
3,303,ah,ah,ah,"Ah, primero debemos estudiar.
Ah, first we must study."
4,304,suerte,suerte,suerte,"Quizás tenga suerte hoy.
Maybe I'll have luck today."
5,305,eh,eh,eh,"¿Eh, viene una nueva película?
Hey, is a new movie coming?"
6,306,rápido,rápido,rápido,"Debería tener suerte para correr tan rápido.

I should be lucky to run so fast."
7,307,cuenta,*cuenta* (contar),contar,"Ella cuenta los problemas durante dos horas.
She counts the problems for two hours."
8,308,cuenta,cuenta,cuenta,"Él se dio cuenta de que tenía algo en la mano al pasar por la puerta.
He realized that he had something in his hand as he passed through the door."
9,309,quizás,quizás,quizás,"Quizás vale la pena seguir este camino.
Perhaps it's worth following this path."
10,310,esas,*esas* (ese),ese,"Pensé que esas flores iban a ser más bonitas.
I thought those flowers were going to be prettier."
11,311,pues,pues,pues,"Todavía no he visto la nueva película, pues no he tenido tiempo.

I still haven't seen the new movie, since I haven't had time."
12,312,pasado,*pasado* (pasar),pasar,"El pasado verano hice un viaje a la ciudad.
Last summer I took a trip to the city."
13,313,pasado,pasado,pasado,"El pasado, Juan se dio cuenta de que tenía las manos sucias.
The past, Juan realized that he had dirty hands."
14,314,pensé,*pensé* (pensar),pensar,"Pensé que en este caso todo estaría ok.
I thought that in this case everything would be ok."
15,315,todavía,todavía,todavía,"Todavía no quiero volver a casa.
I still don't want to go back home."
16,316,hermano,hermano,hermano,"Mi hermano me ayuda en caso de emergencia.
My brother helps me in case of emergency."
17,317,debes,*debes* (deber),deber,"Debes ser un buen capitán.

You must be a good captain."
18,318,casi,casi,casi,"Casi sería el primero en llegar.

I would almost be the first to arrive."
19,319,forma,forma,forma,"Debes llenar la forma, vale.  
You must fill out the form, okay."
20,320,aqui,*aqui* (aquí),aquí,"Aquí hay muchas estrellas en las noches.
Here, there are many stars at night."
21,321,chico,chico,chico,"El chico todavía toma leche.
The boy still drinks milk."
22,322,ok,ok,ok,"Ok, necesito tu ayuda este año.
Ok, I need your help this year."
23,323,dicho,*dicho* (decir),decir,"Casi no entendí el dicho en la primera vez.

I almost didn't understand the saying the first time."
24,324,dicho,dicho,dicho,"Mientras tú hablas, yo haré lo que me has dicho.
While you talk, I will do what you have told me."
25,325,nueva,*nueva* (nuevo),nuevo,"Ella abrió una cuenta nueva.
She opened a new account."
26,326,nueva,nueva,nueva,"Casi hice una nueva amiga.

I almost made a new friend."
27,327,sabía,*sabía* (saber),saber,"Mi hermano sabía que muchas personas vendrían a la fiesta.
My brother knew that many people would come to the party."
28,328,muchas,*muchas* (mucho),mucho,"Muchas personas han dicho que el verano viene pronto.
Many people have said that summer is coming soon."
29,329,dentro,dentro,dentro,"Dentro de la nueva guerra, hay mucha incertidumbre.
Within the new war, there is much uncertainty."
30,330,hice,*hice* (hacer),hacer,"Hice una nueva receta, ¡ah!

I made a new recipe, ah!"
31,331,contra,contra,contra,"El viejo necesita ayuda contra la tormenta.
The old man needs help against the storm."
32,332,auto,auto,auto,"El auto se detuvo en la esquina y vi una mano pintada con la palabra ""muerte"".

The car stopped at the corner and I saw a hand painted with the word ""death""."
33,333,camino,camino,camino,"Ves el camino sin problemas.
You see the path without problems."
34,334,camino,*camino* (caminar),caminar,"Vi un camino que sería perfecto para caminar.
I saw a path that would be perfect for walking."
35,335,ayuda,ayuda,ayuda,"¿Puedes ayudarme, ah?
Can you help me, ah?"
36,336,ayuda,*ayuda* (ayudar),ayudar,"El capitán pidió ayuda la semana pasada.
The captain asked for help last week."
37,337,primera,*primera* (primero),primero,"Vete hablando con la primera persona que veas.

Go talking to the first person you see."
38,338,primera,primera,primera,"Vi la primera película y haré una reseña.
I saw the first movie and I will write a review."
39,339,hacia,hacia,hacia,"El auto se mueve hacia las noches tranquilas.
The car moves towards the quiet nights."
40,340,vi,*vi* (ver),ver,"Vi al capitán loco en el puerto.
I saw the crazy captain at the port."
41,341,miedo,miedo,miedo,"Quizás primero sienta miedo.

Perhaps first I feel fear."
42,342,adiós,adiós,adiós,"Necesito ayuda contra el problema, adiós.
I need help against the problem, goodbye."
43,343,primero,primero,primero,"Primero, estoy hablando con mi primera amiga.  
First, I am talking with my first friend."
44,344,debería,*debería* (deber),deber,"Debería comprar un regalo para mi esposa.

I should buy a gift for my wife."
45,345,poder,poder,poder,"Este año quiero volver a poder viajar.
This year I want to be able to travel again."
46,346,niños,*niños* (niño),niño,"Mi esposa debería cuidar a los niños.
My wife should take care of the children."
47,347,sería,*sería* (ser),ser,"Sería mejor si deja el camino libre.
It would be better if you leave the path clear."
48,348,historia,historia,historia,"La historia de ese lugar es casi única.  
The history of that place is almost unique."
49,349,hey,hey,hey,"Hey, ¿qué ha pasado, capitán?
Hey, what happened, captain?"
50,350,mientras,mientras,mientras,"Mi esposa debería descansar mientras yo cocino.

My wife should rest while I cook."
51,351,ciudad,ciudad,ciudad,"Caminamos juntos por la ciudad.
We walk together through the city."
