,Spanish,Quizlet


0,*cumplido* (cumplido cumplir),"*compliment*
noun: compliment
adjective: accomplished, complete, kept"


1,*brindis*,"*toast*
noun: toast"


2,*villa*,"*town*
noun: villa, small town"


3,*trono*,"*throne*
noun: throne"


4,*traen* (traer),"*they bring*
verb: bring, bring in, get"


5,*sentados* (sentado sentar),"*sitting*
adjective: sitting, sejant"


6,*samurai*,"*samurai*
noun: samurai"


7,*salía* (salir),"*came out*
verb: leave, get out, go out"


8,*raras* (raro),"*rare*
adjective: rare, unusual, odd"


9,*producción*,"*production*
noun: production, output, yield"


10,*medias* (medio),"*socks*
noun: tights, hose, hosiery"


11,*lavar*,"*wash*
verb: wash, rinse, launder"


12,*jazz*,"*jazz*
noun: jazz, jive"


13,*extraordinario*,"*extraordinary*
adjective: extraordinary, special, remarkable
noun: special dish"


14,*causado* (causado causar),"*caused*
adjective: inflicted"


15,*serpientes* (serpiente),"*snakes*
noun: snake, serpent"


16,*revisa* (revisar),"*check out*
verb: revise, look at, inspect"


17,*quedate* (quedar),"*stay*
"


18,*nervios* (nervio),"*nerves*
noun: jitters"


19,*estable*,"*stable*
adjective: stable, steady, permanent"


20,*cerdos* (cerdo),"*pigs*
noun: pork, pig, hog"


21,*riesgos* (riesgo),"*risks*
noun: risk, hazard, venture"


22,*pasaste* (pasar),"*you passed*
verb: pass, go, move"


23,*madres* (madre),"*mothers*
noun: mother, parent"


24,*instinto*,"*instinct*
noun: instinct, flair, urge"


25,*episodio*,"*episode*
noun: episode, incident"


26,*empezaron* (empezar),"*they started*
verb: start, begin, get"


27,*aniversario*,"*anniversary*
adjective: anniversary
noun: anniversary, jubilee"


28,*viera* (ver),"*saw*
verb: see, view, watch"


29,*viajes* (viaje),"*trips*
noun: travel, travels"


30,*trabajé* (trabajar),"*I worked*
verb: work, job, labor"


31,*rango*,"*range*
noun: rank, class, grade"


32,*preocupación*,"*worry*
noun: concern, worry, preoccupation"


33,*métete* (meter),"*get in*
"


34,*imaginé* (imaginar),"*I imagined*
verb: imagine, think, figure"


35,*hayamos* (haber),"*let's have*
verb: have"


36,*fenómeno*,"*freak*
noun: phenomenon, freak"


37,*dolores* (dolor),"*pains*
noun: pain, grief, sorrow"


38,*demanda* (demanda demandar),"*demand*
noun: demand, plaint"


39,*creó* (creer),"*believe*
verb: create, make, set up"


40,*asegurar*,"*ensure*
verb: ensure, secure, assure"


41,*pesadillas* (pesadilla),"*nightmares*
noun: nightmare"


42,*niega* (negar),"*denies*
verb: deny, refuse, negate"


43,*molestia*,"*inconvenience*
noun: hassle, nuisance, trouble"


44,*extremo*,"*extreme*
adjective: end, extreme, far
noun: end, extreme, extremity
prefix: ultra-"


45,*debilidad*,"*weakness*
noun: weakness, debility, frailty"


46,*compasión*,"*compassion*
noun: compassion, pity, sympathy"


47,*camiones* (camión),"*trucks*
noun: truck, camion, lorry"


48,*aproximadamente*,"*approximately*
adverb: about, approximately, around
preposition: on the order of"


