,Spanish,Quizlet


0,*enseñarles* (enseñar),"*teach them*
"


1,*comenzaron* (comenzar),"*started*
verb: start, begin, commence"


2,*cerradas* (cerrado),"*closed*
verb: close, shut, shut down"


3,*celosa* (celoso),"*jealous*
adjective: jealous, zealous, mettlesome"


4,*batallón*,"*battalion*
noun: battalion"


5,*atrae* (atraer),"*attracts*
verb: attract, draw, lure"


6,*apresúrate* (apresurar),"*hurry up*
"


7,*rojos* (rojo),"*reds*
adjective: red, ruddy, ginger
noun: red"


8,*ofender*,"*to offend*
verb: offend, insult, give offense"


9,*novela*,"*novel*
noun: novel, story, romance"


10,*nazis* (nazi),"*nazis*
adjective: Nazi
noun: Nazi"


11,*muros* (muro),"*walls*
noun: wall"


12,*limpias* (limpio),"*clean*
noun: cleaning, cleanup"


13,*espectacular*,"*spectacular*
adjective: spectacular, scenic, scenical"


14,*empiecen* (empezar),"*start*
verb: start, begin, get"


15,*cortina*,"*curtain*
noun: curtain, screen, sheet"


16,*construido* (construido construir),"*built*
adjective: built, constructed"


17,*comerciales* (comercial),"*commercial*
adjective: commercial, trade, trading"


18,*chaval*,"*kid*
noun: kid, lad, boy"


19,*cadenas* (cadena),"*chains*
noun: chain, string, network"


20,*botones* (botón),"*buttons*
noun: buttons, bellhop, bellboy"


21,*arrogante*,"*arrogant*
adjective: arrogant, haughty, cavalier"


22,*vendo* (vender vendar),"*I sell*
verb: sell, market, trade"


23,*tuviéramos* (tener),"*we had*
verb: have, keep, own"


24,*tocaba* (tocar),"*touched*
verb: touch, play, perform"


25,*situaciones* (situación),"*situations*
noun: situation, location, position"


26,*semental*,"*stallion*
noun: stallion, stud, sire"


27,*responsables* (responsable),"*responsible*
adjective: responsible, liable, answerable"


28,*reportes* (reporte),"*reports*
noun: account"


29,*muestran* (mostrar),"*show*
verb: show, display, exhibit"


30,*facultad*,"*faculty*
noun: faculty, power, school"


31,*envidia* (envidia envidiar),"*envy*
noun: envy, jealousy"


32,*emocionado* (emocionar),"*excited*
adjective: excited, moved, emotional"


33,*disposición*,"*provision*
noun: provision, disposal, disposition"


34,*diremos* (decir),"*we will say*
verb: say, tell, speak"


35,*dejarnos* (dejar),"*leave us*
"


36,*deberiamos* (deber),"*we should*
verb: must, owe, job"


37,*conquistar*,"*conquer*
verb: conquer, gain, take"


38,*bonitos* (bonito),"*pretty*
adjective: nice, beautiful, pretty"


39,*averigua* (averiguar),"*find out*
verb: find out, ascertain, inquire"


40,*almohada*,"*pillow*
noun: pillow"


41,*activo* (activo activar),"*asset*
adjective: active, alive, bustling
noun: assets"


42,*abuelita* (abuelita abuela),"*granny*
noun: granny, grandma, grannie"


43,*vitales* (vital),"*vital*
adjective: vital, life"


44,*verse* (ver),"*see each other*
verb: show, meet, get together"


45,*traicionado* (traicionado traicionar),"*betrayed*
verb: betray, sell out, play false"


46,*teresa* (teresa Teresa),"*Teresa*
"


47,*soñé* (soñar),"*i dreamed*
verb: dream"


