,Spanish,show,lemma
4300,lleguen,*lleguen* (llegar),
4301,saliste,*saliste* (salir),
4302,sabrás,*sabrás* (saber),
4303,limpieza,limpieza,
4304,estadounidense,estadounidense,
4305,enojada,*enojada* (enojado),enojado
4306,enojada,*enojada* (enojar),enojar
4307,desafortunadamente,desafortunadamente,
4308,conoció,*conoció* (conocer),
4309,pinta,pinta,pinta
4310,pinta,*pinta* (pintar),pintar
4311,matamos,*matamos* (matar),
4312,funcionan,*funcionan* (funcionar),
4313,cocinar,cocinar,
4314,cima,cima,
4315,atractivo,atractivo,
4316,preguntes,*preguntes* (preguntar),
4317,necesitaré,*necesitaré* (necesitar),
4318,lleguemos,*lleguemos* (llegar),
4319,interrumpir,interrumpir,
4320,haberla,*haberla* (haber),
4321,apropiado,apropiado,
4322,presentimiento,presentimiento,
4323,intentamos,*intentamos* (intentar),
4324,finales,*finales* (final),
4325,evitarlo,*evitarlo* (evitar),
4326,enviaré,*enviaré* (enviar),
4327,deporte,deporte,
4328,bajando,*bajando* (bajar),
4329,sucia,*sucia* (sucio),
4330,recibimos,*recibimos* (recibir),
4331,pastillas,*pastillas* (pastilla),
4332,ceremonia,ceremonia,
4333,tina,tina,
4334,muelle,muelle,
4335,maletas,*maletas* (maleta),
4336,hijas,*hijas* (hija),
4337,desconocido,desconocido,desconocido
4338,desconocido,*desconocido* (desconocer),desconocer
4339,conseguiré,*conseguiré* (conseguir),
4340,refugio,refugio,refugio
4341,refugio,*refugio* (refugiar),refugiar
4342,imagina,*imagina* (imaginar),
4343,franceses,*franceses* (francés),
4344,convertirse,*convertirse* (convertir),
4345,arruinado,arruinado,arruinado
4346,arruinado,*arruinado* (arruinar),arruinar
4347,vomitar,vomitar,
4348,pasajeros,*pasajeros* (pasajero),
4349,normales,*normales* (normal),
4350,disfraz,disfraz,
4351,continúe,*continúe* (continuar),
4352,arreglado,arreglado,arreglado
4353,arreglado,*arreglado* (arreglar),arreglar
4354,aprende,*aprende* (aprender),
4355,venimos,*venimos* (venir),
4356,tenerte,*tenerte* (tener),
4357,seguirá,*seguirá* (seguir),
4358,razonable,razonable,
4359,puesta,puesta,puesta
4360,puesta,*puesta* (puesto),puesto
4361,puesta,*puesta* (poner),poner
4362,masaje,masaje,
4363,lágrimas,*lágrimas* (lágrima),
4364,gustaria,*gustaria* (gustar),
4365,extranjero,extranjero,
4366,dejaremos,*dejaremos* (dejar),
4367,apellido,apellido,
4368,alguacil,alguacil,
4369,temporal,temporal,
4370,rompe,*rompe* (romper),
4371,mayo,mayo,
4372,egoísta,egoísta,
4373,aceite,aceite,
4374,platos,*platos* (plato),
4375,miércoles,miércoles,
4376,indios,*indios* (indio),
4377,decimos,*decimos* (decir),
4378,bolsas,*bolsas* (bolsa),
4379,anuncio,anuncio,
4380,tirado,tirado,tirado
4381,tirado,*tirado* (tirar),tirar
4382,notado,notado,notado
4383,notado,*notado* (notar),notar
4384,mutantes,*mutantes* (mutante),
4385,imaginas,*imaginas* (imaginar),
4386,habitaciones,*habitaciones* (habitación),
4387,grecia,*grecia* (Grecia),
4388,entré,*entré* (entrar),
4389,díselo,*díselo* (decir),
4390,césar,césar,césar
4391,césar,*césar* (César),César
4392,comprado,comprado,comprado
4393,comprado,*comprado* (comprar),comprar
4394,cocaína,cocaína,
4395,amarillo,amarillo,
4396,acabará,*acabará* (acabar),
4397,suceda,*suceda* (suceder),
4398,mentes,*mentes* (mente),
4399,maldad,maldad,
