,Spanish,show,lemma
1000,prometo,*prometo* (prometer),prometer
1001,esposo,esposo,esposo
1002,esposo,*esposo* (esposar),esposar
1003,norte,norte,norte
1004,hubo,*hubo* (haber),haber
1005,juro,*juro* (jurar),jurar
1006,muerta,*muerta* (muerto),muerto
1007,muerta,*muerta* (morir),morir
1008,interesante,interesante,interesante
1009,pensaba,*pensaba* (pensar),pensar
1010,busca,*busca* (buscar),buscar
1011,busca,busca,busca
1012,terminar,terminar,terminar
1013,tendré,*tendré* (tener),tener
1014,completamente,completamente,completamente
1015,cita,cita,cita
1016,cita,*cita* (citar),citar
1017,siete,siete,siete
1018,cumpleaños,cumpleaños,cumpleaños
1019,abogado,abogado,abogado
1020,alrededor,alrededor,alrededor
1021,cerebro,cerebro,cerebro
1022,porqué,porqué,porqué
1023,llave,llave,llave
1024,santo,santo,santo
1025,hermoso,hermoso,hermoso
1026,necesario,necesario,necesario
1027,edificio,edificio,edificio
1028,irnos,*irnos* (ir),ir
1029,aun,aun,aun
1030,tendremos,*tendremos* (tener),tener
1031,vayas,*vayas* (ir),ir
1032,doy,*doy* (dar),dar
1033,trae,*trae* (traer),traer
1034,salió,*salió* (salir),salir
1035,ley,ley,ley
1036,ahi,*ahi* (ahí),ahí
1037,verdadero,verdadero,verdadero
1038,pelea,pelea,pelea
1039,pelea,*pelea* (pelear),pelear
1040,banco,banco,banco
1041,terrible,terrible,terrible
1042,calma,calma,calma
1043,calma,*calma* (calmar),calmar
1044,cena,cena,cena
1045,cena,*cena* (cenar),cenar
1046,daré,*daré* (dar),dar
1047,gobierno,gobierno,gobierno
1048,comprar,comprar,comprar
1049,creen,*creen* (creer),creer
1050,creen,*creen* (crear),crear
1051,sargento,sargento,sargento
1052,destino,destino,destino
1053,existe,*existe* (existir),existir
1054,hacía,*hacía* (hacer),hacer
1055,novio,novio,novio
1056,sala,sala,sala
1057,través,través,través
1058,regalo,regalo,regalo
1059,regalo,*regalo* (regalar),regalar
1060,iglesia,iglesia,iglesia
1061,decía,*decía* (decir),decir
1062,cualquiera,cualquiera,cualquiera
1063,excelente,excelente,excelente
1064,esperen,*esperen* (esperar),esperar
1065,deseo,deseo,deseo
1066,deseo,*deseo* (desear),desear
1067,alma,alma,alma
1068,diablo,diablo,diablo
1069,deje,*deje* (dejar),dejar
