,Number,Spanish,lemma forms
5900,5902.0,enseñarles,enseñar
5901,5903.0,comenzaron,comenzar
5902,5904.0,cerradas,cerrado
5903,5905.0,celosa,celoso
5904,5906.0,batallón,batallón
5905,5907.0,atrae,atraer
5906,5908.0,apresúrate,apresurar
5907,5909.0,rojos,rojo
5908,5910.0,ofender,ofender
5909,5911.0,novela,novela
5910,5912.0,nazis,nazi
5911,5913.0,muros,muro
5912,5914.0,limpias,limpio
5913,5915.0,espectacular,espectacular
5914,5916.0,empiecen,empezar
5915,5917.0,cortina,cortina
5916,5918.0,construido,construido construir
5917,5919.0,comerciales,comercial
5918,5920.0,chaval,chaval
5919,5921.0,cadenas,cadena
5920,5922.0,botones,botón
5921,5923.0,arrogante,arrogante
5922,5924.0,vendo,vender vendar
5923,5925.0,tuviéramos,tener
5924,5926.0,tocaba,tocar
5925,5927.0,situaciones,situación
5926,5928.0,semental,semental
5927,5929.0,responsables,responsable
5928,5930.0,reportes,reporte
5929,5931.0,muestran,mostrar
5930,5932.0,facultad,facultad
5931,5933.0,envidia,envidia envidiar
5932,5934.0,emocionado,emocionar
5933,5935.0,disposición,disposición
5934,5936.0,diremos,decir
5935,5937.0,dejarnos,dejar
5936,5938.0,deberiamos,deber
5937,5939.0,conquistar,conquistar
5938,5940.0,bonitos,bonito
5939,5941.0,averigua,averiguar
5940,5942.0,almohada,almohada
5941,5943.0,activo,activo activar
5942,5944.0,abuelita,abuelita abuela
5943,5945.0,vitales,vital
5944,5946.0,verse,ver
5945,5947.0,traicionado,traicionado traicionar
5946,5948.0,teresa,teresa Teresa
5947,5949.0,soñé,soñar
5948,5950.0,roba,robar
5949,5951.0,moderno,moderno
5950,5952.0,manta,manta
5951,5953.0,lidiar,lidiar
5952,5954.0,joda,joder
5953,5955.0,despejen,despejar
5954,5956.0,comunista,comunista
5955,5957.0,aprendiendo,aprender
5956,5958.0,tirando,tirar
5957,5959.0,suiza,Suiza suizo
5958,5960.0,pita,pita
5959,5961.0,pensaron,pensar
5960,5962.0,nudos,nudo
5961,5963.0,muestre,mostrar
5962,5964.0,molestado,molestado molestar
5963,5965.0,llora,llorar
5964,5966.0,hembra,hembra
5965,5967.0,eternamente,eternamente
5966,5968.0,duermas,dormir
5967,5969.0,disparan,disparar
5968,5970.0,creerá,creer
5969,5971.0,colgado,colgado colgar
5970,5972.0,arrestaron,arrestar
5971,5973.0,acusación,acusación
5972,5974.0,viajando,viajar
5973,5975.0,tremenda,tremendo
5974,5976.0,simples,simple
5975,5977.0,servirle,servir
5976,5978.0,planea,planear
5977,5979.0,negar,negar
5978,5980.0,necesitabas,necesitar
5979,5981.0,mordido,mordido morder
5980,5982.0,lecciones,lección
5981,5983.0,insectos,insecto
5982,5984.0,imaginado,imaginado imaginar
5983,5985.0,habríamos,haber
5984,5986.0,fallar,fallar
5985,5987.0,escudos,escudo
5986,5988.0,diviértete,divertir
5987,5989.0,crece,crecer
5988,5990.0,combatir,combatir
5989,5991.0,canto,canto cantar
5990,5992.0,bichos,bicho
5991,5993.0,atacando,atacar
5992,5994.0,apestoso,apestoso
5993,5995.0,visa,visa
5994,5996.0,times,timar
5995,5997.0,retirar,retirar
5996,5998.0,persigue,perseguir
5997,5999.0,ooh,ooh
5998,6000.0,leerlo,leer
