,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives


0,*gritos* (grito),"*Screams*
noun: shouting, uproar",*Screams*,grito,"[['shouting', 'uproar']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gritos,"noun: shouting, uproar"


1,*dolares* (dólar),"*Dollars*
",*Dollars*,dólar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=dolares,


2,*asegurarme* (asegurar),"*make sure*
",*make sure*,asegurar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=asegurarme,


3,*restos* (resto),"*remains*
noun: remains, ruins, leftovers",*remains*,resto,"[['remains', 'ruins', 'leftovers', 'detritus', 'legacy']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=restos,"noun: remains, ruins, leftovers"


4,*pierdo* (perder),"*I lose*
verb: lose, miss, waste",*I lose*,perder,"[['lose', 'miss', 'waste', 'shed', 'forfeit', 'drop', 'lose out', 'miss out on', 'ruin', 'misplace', 'mislay', 'idle away', 'balk', 'muff', 'misspend', 'loiter away', 'baulk']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pierdo,"verb: lose, miss, waste"


5,*motivos* (motivo),"*reasons*
noun: reason, motive, occasion
adjective: motive",*reasons*,motivo,"[['reason', 'motive', 'occasion', 'motif', 'cause', 'sake'], ['motive']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=motivos,"noun: reason, motive, occasion
adjective: motive"


6,*dimos* (decir),"*we gave*
verb: give, yield, lend",*we gave*,decir,"[['give', 'yield', 'lend', 'show', 'teach', 'hand', 'gift', 'put on', 'give off', 'take to', 'surrender', 'lecture', 'turn on', 'produce', 'feed on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dimos,"verb: give, yield, lend"


7,*campeonato*,"*championship*
noun: championship, title",*championship*,campeonato,"[['championship', 'title']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=campeonato,"noun: championship, title"


8,*apúrense* (apurar),"*hurry up*
",*hurry up*,apurar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=apúrense,


9,*unico* (único),"*only*
adjective: only, unique, single",*only*,único,"[['only', 'unique', 'single', 'one', 'sole', 'alone', 'exclusive', 'singular', 'one-off', 'non-recurring']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=unico,"adjective: only, unique, single"


10,*reír*,"*laugh*
verb: laugh",*laugh*,reír,[['laugh']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=reír,verb: laugh


11,*prima*,"*cousin*
noun: premium, bonus, cousin",*cousin*,prima,"[['premium', 'bonus', 'cousin', 'prime', 'bounty']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=prima,"noun: premium, bonus, cousin"


12,*maricón*,"*fagot*
noun: fagot, fag, queer",*fagot*,maricón,"[['fagot', 'fag', 'queer', 'fairy', 'poof', 'queen', 'nance', 'faggot']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=maricón,"noun: fagot, fag, queer"


