Infinitive SimpelpastSingular SimpelpastPlural PastPerfectauxiliary PastPerfectparticiple
Zijn was waren is geweest
Hebben had hadden heeft gehad
Moeten moest moesten heeft gemoeten
Kunnen kon konden heeft gekund
Gaan ging gingen is gegaan
Doen deed deden heeft gedaan
Weten wist wisten heeft geweten
Worden werd werden is geworden
Zeggen zei(zegde) zegden heeft gezegd
Willen wou(wilde) wilden heeft gewild
Zullen zou zouden none none
Komen kwam kwamen Is gekomen
Zitten zat zaten heeft gezeten
Maken maakte maakten heeft gemaakt
Staan stond stonden heeft gestaan
Zien zag zagen heeft gezien
Kijken keek keken heeft gekeken
Mogen mocht mochten heeft gemogen
Laten liet lieten heeft gelaten
Denken dacht dachten heeft gedacht
Krijgen kreeg kregen heeft gekregen
Vinden vond vonden heeft gevonden
Leven leefde leefden heeft geleefd
Vragen vroeg vroegen heeft gevraagd
Geven gaf gaven heeft gegeven
Werken werkte werkten heeft gewerkt
Lezen las lazen heeft gelezen
Blijven bleef bleven is gebleven
Bestaan bestond bestonden heeft bestaan
Liggen lag lagen heeft gelegen
Blijken bleek bleken is gebleken
Houden hield hielden heeft gehouden
Kosten kostte kostten heeft gekost
Geloven geloofde geloofden heeft geloofd
Nemen nam namen heeft genomen
Eten at aten heeft gegeten
Lijken leek leken heeft geleken
Beginnen begon begonnen is begonnen
Drinken dronk dronken heeft gedronken
Praten praatte praatten heeft gepraat
Zetten zette zetten heeft gezet
Lopen liep liepen heeft gelopen
Halen haalde haalden heeft gehaald
Spelen speelde speelden heeft gespeeld
Vallen viel vielen is gevallen
Gebeuren gebeurde gebeurden is gebeurd
Betreffen betrof betroffen heeft betroffen
Horen hoorde hoorden heeft gehoord
Kennen kende kenden heeft gekend
Brengen bracht brachten heeft gebracht
Leren leerde leerden heeft geleerd
Voorstellen steldevoor steldenvoor heeft voorgesteld
Spreken sprak spraken heeft gesproken
Vertellen vertelde vertelden heeft verteld
Slapen sliep sliepen heeft geslapen
Stellen stelde stelden heeft gesteld
Groeien groeide groeiden heeft gegroeid
Gebruiken gebruikte gebruikten heeft gebruikt
Verwachten verwachtte verwachtten heeft verwacht
Betekenen betekende betekenden heeft betekend
Betalen betaalde betaalden heeft betaald
Vormen vormde vormden heeft gevormd
Kopen kocht kochten heeft gekocht
Tellen telde telden heeft geteld
Zorgen zorgde zorgden heeft gezorgd
Bieden bood boden heeft geboden
Verkopen verkocht verkochten heeft verkocht
Volgen volgde volgden heeft gevolgd
Trekken trok trokken heeft getrokken
Bepalen bepaalde bepaalden heeft bepaald
Zoeken zocht zochten heeft gezocht
Leggen legde legden heeft gelegd
Schrijven schreef schreven heeft geschreven
Beperken beperkte beperkten heeft beperkt
Gelden gold golden heeft gegolden
Leiden leidde leidden heeft geleid
Bedragen bedroeg bedroegen heeft bedragen
Wachten wachtte wachtten heeft gewacht
Plaatsen plaatste plaatsten heeft geplaatst
Plannen plande planden heeft gepland
Starten startte startten is gestart
Proberen probeerde probeerden heeft geprobeerd
Voeren voerde voerden heeft gevoerd
Bouwen bouwde bouwden heeft gebouwd
Kiezen koos kozen heeft gekozen
Voorzien voorzag voorzagen heeft voorzien
betrekken betrok betrokken heeft betrokken
Helpen hielp hielpen heeft geholpen
Bezoeken bezocht bezochten heeft bezocht
Leveren leverde leverden heeft geleverd
Antwoorden antwoordde antwoordden heeft geantwoord
Noemen noemde noemden is genoemd
Heten heette heetten heeft geheten
Veranderen veranderde veranderden is veranderd
Vertrouwen vertrouwde vertrouwden heeft vertrouwd
Ontstaan ontstond ontstonden is ontstaan
Stijgen steeg stegen Is gestegen
Bezitten bezat bezaten heeft bezeten
Voelen voelde voelden heeft gevoeld
