,Front,Back
0,Ik: Zijn,was
1,Zij: Zijn,waren
2,Hij:  Zijn,is geweest
3,Hij: Hebben,had
4,Zij: Hebben,hadden
5,Hij:  Hebben,heeft gehad
6,Hij: Moeten,moest
7,Jullie: Moeten,moesten
8,Hij:  Moeten,heeft gemoeten
9,Hij: Kunnen,kon
10,Wij: Kunnen,konden
11,Hij:  Kunnen,heeft gekund
12,Ik: Gaan,ging
13,Zij: Gaan,gingen
14,Hij:  Gaan,is gegaan
15,Jij: Doen,deed
16,Wij: Doen,deden
17,Hij:  Doen,heeft gedaan
18,Ik: Weten,wist
19,Zij: Weten,wisten
20,Hij:  Weten,heeft geweten
21,Jij: Worden,werd
22,Wij: Worden,werden
23,Hij:  Worden,is geworden
24,Ik: Zeggen,zei(zegde)
25,Jullie: Zeggen,zegden
26,Hij:  Zeggen,heeft gezegd
27,Hij: Willen,wou(wilde)
28,Zij: Willen,wilden
29,Hij:  Willen,heeft gewild
30,Jij: Zullen,zou
31,Jullie: Zullen,zouden
32,Hij: Komen,kwam
33,Wij: Komen,kwamen
34,Hij:  Komen,Is gekomen
35,Ik: Zitten,zat
36,Wij: Zitten,zaten
37,Hij:  Zitten,heeft gezeten
38,Hij: Maken,maakte
39,Zij: Maken,maakten
40,Hij:  Maken,heeft gemaakt
41,Ik: Staan,stond
42,Wij: Staan,stonden
43,Hij:  Staan,heeft gestaan
44,Hij: Zien,zag
45,Wij: Zien,zagen
46,Hij:  Zien,heeft gezien
47,Jij: Kijken,keek
48,Wij: Kijken,keken
49,Hij:  Kijken,heeft gekeken
50,Ik: Mogen,mocht
51,Jullie: Mogen,mochten
52,Hij:  Mogen,heeft gemogen
53,Hij: Laten,liet
54,Jullie: Laten,lieten
55,Hij:  Laten,heeft gelaten
56,Jij: Denken,dacht
57,Jullie: Denken,dachten
58,Hij:  Denken,heeft gedacht
59,Ik: Krijgen,kreeg
60,Jullie: Krijgen,kregen
61,Hij:  Krijgen,heeft gekregen
62,Jij: Vinden,vond
63,Jullie: Vinden,vonden
64,Hij:  Vinden,heeft gevonden
65,Ik: Leven,leefde
66,Jullie: Leven,leefden
67,Hij:  Leven,heeft geleefd
68,Jij: Vragen,vroeg
69,Zij: Vragen,vroegen
70,Hij:  Vragen,heeft gevraagd
71,Hij: Geven,gaf
72,Zij: Geven,gaven
73,Hij:  Geven,heeft gegeven
74,Hij: Werken,werkte
75,Zij: Werken,werkten
76,Hij:  Werken,heeft gewerkt
77,Ik: Lezen,las
78,Zij: Lezen,lazen
79,Hij:  Lezen,heeft gelezen
80,Jij: Blijven,bleef
81,Wij: Blijven,bleven
82,Hij:  Blijven,is gebleven
83,Jij: Bestaan,bestond
84,Wij: Bestaan,bestonden
85,Hij:  Bestaan,heeft bestaan
86,Hij: Liggen,lag
87,Zij: Liggen,lagen
88,Hij:  Liggen,heeft gelegen
89,Hij: Blijken,bleek
90,Jullie: Blijken,bleken
91,Hij:  Blijken,is gebleken
92,Ik: Houden,hield
93,Jullie: Houden,hielden
94,Hij:  Houden,heeft gehouden
95,Hij: Kosten,kostte
96,Jullie: Kosten,kostten
97,Hij:  Kosten,heeft gekost
98,Hij: Geloven,geloofde
99,Wij: Geloven,geloofden
100,Hij:  Geloven,heeft geloofd
101,Ik: Nemen,nam
