,index,Dutch,Frequency,cumsum
0,2600,herinnering,4181,97.53445772463014
1,2601,koninkrijk,4180,97.53678664665644
2,2602,bewaker,4179,97.53911501152434
3,2603,bommen,4178,97.54144281923388
4,2604,koos,4178,97.54377062694341
5,2605,lunchen,4176,97.54609732033619
6,2606,dringend,4174,97.5484228994122
7,2607,verliet,4174,97.55074847848822
8,2608,Florida,4173,97.55307350040586
9,2609,bravo,4169,97.55539629368997
10,2610,lading,4169,97.55771908697409
11,2611,Lincoln,4162,97.56003798014954
12,2612,middernacht,4160,97.56235575900826
13,2613,handelen,4159,97.56467298070858
14,2614,terugtrekken,4158,97.56698964525052
15,2615,bepalen,4157,97.56930575263408
16,2616,illegaal,4153,97.57161963138412
17,2617,verander,4152,97.5739329529758
18,2618,geweren,4151,97.57624571740908
19,2619,samenwerken,4149,97.5785573675256
20,2620,partij,4146,97.580867346167
21,2621,levende,4146,97.58317732480839
22,2622,botten,4146,97.58548730344977
23,2623,brein,4145,97.58779672493279
24,2624,leid,4144,97.59010558925742
25,2625,groots,4143,97.59241389642366
26,2626,grot,4136,97.59471830348126
27,2627,volgend,4134,97.59702159622209
28,2628,zacht,4132,97.59932377464617
29,2629,volkomen,4127,97.60162316727835
30,2630,klasse,4126,97.60392200275214
31,2631,zone,4126,97.60622083822595
32,2632,mannetje,4125,97.60851911654137
33,2633,rand,4122,97.61081572338165
34,2634,bied,4120,97.61311121590518
35,2635,smeerlap,4119,97.61540615127032
36,2636,handtekening,4119,97.61770108663546
37,2637,wauw,4116,97.61999435052546
38,2638,namelijk,4115,97.62228705725708
39,2639,beters,4115,97.6245797639887
40,2640,kerstfeest,4114,97.62687191356196
41,2641,bedreiging,4113,97.62916350597682
42,2642,betekend,4112,97.63145454123331
43,2643,centrale,4111,97.63374501933141
44,2644,vet,4109,97.63603438311276
45,2645,gedwongen,4107,97.63832263257736
46,2646,meld,4104,97.64060921056681
47,2647,ogenblik,4100,97.64289355992274
48,2648,Maggie,4100,97.64517790927867
49,2649,plotseling,4099,97.64746170147622
50,2650,zijde,4091,97.64974103640674
51,2651,lied,4090,97.65201981417887
52,2652,gooide,4090,97.65429859195102
53,2653,stoor,4086,97.65657514108963
54,2654,besloot,4082,97.65884946159473
55,2655,nieuwsgierig,4079,97.6611221106247
56,2656,dapper,4078,97.66339420249628
57,2657,fantastische,4072,97.66566295141759
58,2658,kalmeer,4071,97.66793114318051
59,2659,kanten,4071,97.67019933494345
60,2660,allang,4067,97.67246529807285
61,2661,leveren,4067,97.67473126120225
62,2662,gsm,4066,97.67699666717328
63,2663,magische,4066,97.67926207314432
64,2664,ontslaan,4065,97.68152692195697
65,2665,lafaard,4063,97.68379065645286
66,2666,Sophie,4063,97.68605439094875
67,2667,hek,4061,97.68831701112788
68,2668,hout,4060,97.69057907414863
69,2669,truc,4059,97.69284058001101
70,2670,bereik,4058,97.695101528715
71,2671,negatief,4056,97.69736136310223
72,2672,huiswerk,4055,97.69962064033109
73,2673,machines,4051,97.70187768892643
74,2674,opruimen,4051,97.70413473752177
75,2675,klonk,4045,97.70638844316683
76,2676,Hollywood,4042,97.70864047733674
77,2677,schande,4037,97.71088972571478
78,2678,gezorgd,4034,97.71313730261765
79,2679,bewust,4034,97.71538487952054
80,2680,daaraan,4029,97.71762967063154
81,2681,plassen,4029,97.71987446174252
82,2682,toren,4028,97.72211869569513
83,2683,pakje,4026,97.72436181533098
84,2684,storen,4025,97.72660437780844
85,2685,merk,4015,97.72884136870212
86,2686,koopt,4013,97.73107724527904
87,2687,as,4013,97.73331312185596
88,2688,verdwijn,4012,97.73554844127449
89,2689,expert,4010,97.73778264637627
90,2690,Parker,4010,97.74001685147805
91,2691,partners,4009,97.74225049942144
92,2692,lokale,4009,97.74448414736484
93,2693,spannend,4006,97.74671612383311
94,2694,hebbes,4006,97.74894810030136
95,2695,angel,4006,97.75118007676963
96,2696,verdiende,4005,97.75341149607951
97,2697,beantwoorden,4005,97.75564291538939
98,2698,metro,4002,97.75787266322413
99,2699,besef,4001,97.7601018539005
100,2700,mankeert,4001,97.76233104457685
101,2701,opname,4000,97.76455967809484
102,2702,goeds,3999,97.76678775445444
103,2703,aanklacht,3996,97.76901415933891
104,2704,suiker,3992,97.77123833558986
105,2705,openbaar,3992,97.77346251184079
106,2706,crimineel,3989,97.7756850166166
107,2707,uitzien,3989,97.77790752139241
108,2708,soep,3988,97.78012946900985
109,2709,gericht,3987,97.78235085946889
110,2710,kruis,3987,97.78457224992795
111,2711,effect,3985,97.78679252607023
112,2712,helder,3981,97.789010573579
113,2713,identiteit,3980,97.7912280639294
114,2714,bedenk,3976,97.79344332564628
115,2715,aanwezigheid,3971,97.79565580157126
116,2716,scherm,3968,97.79786660602109
117,2717,winter,3966,97.80007629615417
118,2718,dokters,3964,97.80228487197049
119,2719,droog,3963,97.80449289062844
120,2720,sprake,3962,97.80670035212799
121,2721,Chinese,3962,97.80890781362756
122,2722,mail,3961,97.81111471796874
123,2723,veroordeeld,3950,97.81331549356774
124,2724,Caesar,3950,97.81551626916675
125,2725,ingang,3949,97.81771648760738
126,2726,middag,3948,97.81991614888963
127,2727,hartstikke,3946,97.82211469585512
128,2728,Connor,3946,97.82431324282061
129,2729,smaakt,3945,97.82651123262772
130,2730,danken,3943,97.82870810811808
131,2731,kaartjes,3942,97.83090442645005
132,2732,kiest,3940,97.83309963046526
133,2733,wetten,3938,97.83529372016372
134,2734,velen,3937,97.8374872527038
135,2735,verklaart,3937,97.83968078524386
136,2736,televisie,3934,97.8418726463088
137,2737,rijd,3932,97.84406339305697
138,2738,Cooper,3932,97.84625413980515
139,2739,romantisch,3931,97.84844432939495
140,2740,ramen,3929,97.85063340466799
141,2741,verraad,3928,97.85282192278265
142,2742,zegen,3927,97.85500988373893
143,2743,vies,3927,97.85719784469521
144,2744,munitie,3925,97.85938469133472
145,2745,hete,3924,97.86157098081587
146,2746,voer,3922,97.86375615598025
147,2747,klagen,3922,97.86594133114464
148,2748,vriendinnen,3920,97.86812539199225
149,2749,wijst,3919,97.8703088956815
150,2750,bibliotheek,3918,97.87249184221237
151,2751,ondertussen,3918,97.87467478874323
152,2752,bevestigd,3917,97.87685717811571
153,2753,verdwijnt,3916,97.87903901032982
154,2754,draak,3915,97.88122028538555
155,2755,gevoeld,3914,97.8834010032829
156,2756,snelweg,3912,97.88558060686348
157,2757,ingewikkeld,3911,97.88775965328568
158,2758,bedrijven,3905,97.88993535675762
159,2759,gedurende,3902,97.8921093887544
160,2760,hut,3895,97.89427952064254
161,2761,nicht,3893,97.89644853821392
162,2762,plat,3893,97.8986175557853
163,2763,hielden,3891,97.90078545903992
164,2764,verwijderen,3887,97.90295113366102
165,2765,vliegtuigen,3886,97.90511625112374
166,2766,speelgoed,3886,97.90728136858645
167,2767,ofwel,3884,97.90944537173242
168,2768,negeren,3882,97.91160826056162
169,2769,uitzicht,3880,97.91377003507407
170,2770,jeetje,3877,97.91593013811136
171,2771,beloven,3874,97.91808856967354
172,2772,gecontroleerd,3872,97.92024588691895
173,2773,demon,3871,97.92240264700597
174,2774,gedraag,3871,97.924559407093
175,2775,gooit,3870,97.92671561002165
176,2776,wegen,3868,97.92887069863353
177,2777,graaf,3868,97.93102578724543
178,2778,roze,3863,97.93317809006543
179,2779,realiteit,3862,97.93532983572703
180,2780,check,3861,97.93748102423027
181,2781,Lets,3860,97.93963165557511
182,2782,gewicht,3859,97.94178172976159
183,2783,attentie,3858,97.94393124678969
184,2784,warme,3857,97.9460802066594
185,2785,pest,3857,97.94822916652912
186,2786,beloning,3852,97.95037534060694
187,2787,eenheden,3851,97.95252095752637
188,2788,opleiding,3851,97.95466657444581
189,2789,snij,3850,97.95681163420687
190,2790,Gibbs,3849,97.95895613680955
191,2791,volgde,3848,97.96110008225385
192,2792,busje,3846,97.9632429133814
193,2793,watje,3840,97.96538240155866
194,2794,vergist,3838,97.96752077541916
195,2795,middelbare,3838,97.96965914927966
196,2796,moeilijker,3836,97.97179640882341
197,2797,opgegeven,3830,97.97393032541687
198,2798,ontdekte,3829,97.97606368485197
199,2799,schouder,3826,97.97819537281191
